tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,Director name,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0026138,1935,7.8,The Bride of Frankenstein,m/bride_of_frankenstein,James Whale,The Bride of Frankenstein,Certified-Fresh,98.0
tt0026174,1935,7.7,Captain Blood,m/1003499-captain_blood,Michael Curtiz,Captain Blood,Fresh,100.0
tt0026529,1935,7.4,The Informer,m/1010553-informer,John Ford,The Informer,Fresh,94.0
tt0026752,1935,7.7,Mutiny on the Bounty,m/1014481-mutiny_on_the_bounty,Frank Lloyd,Mutiny on the Bounty,Certified-Fresh,93.0
tt0026778,1935,7.8,A Night at the Opera,m/1015002-night_at_the_opera,Sam Wood,A Night at the Opera,Certified-Fresh,98.0
tt0026778,1935,7.8,A Night at the Opera,m/1015002-night_at_the_opera,Edmund Goulding,A Night at the Opera,Certified-Fresh,98.0
tt0027125,1935,7.7,Top Hat,m/top_hat,Mark Sandrich,Top Hat,Certified-Fresh,100.0
tt0027260,1936,7.6,After the Thin Man,m/after_the_thin_man,W.S. Van Dyke,After the Thin Man,Fresh,100.0
tt0027532,1936,7.8,Dodsworth,m/dodsworth,William Wyler,Dodsworth,Fresh,90.0
tt0027545,1936,6.3,Dracula's Daughter,m/draculas_daughter,Lambert Hillyer,Dracula's Daughter,Rotten,55.0
tt0027698,1936,6.7,The Great Ziegfeld,m/great_ziegfeld,Robert Z. Leonard,The Great Ziegfeld,Fresh,62.0
tt0027884,1936,7.8,Libeled Lady,m/libeled_lady,Jack Conway,Libeled Lady,Fresh,86.0
tt0027996,1936,7.8,Mr. Deeds Goes to Town,m/mr_deeds_goes_to_town,Frank Capra,Mr. Deeds Goes to Town,Fresh,90.0
tt0028010,1936,8.0,My Man Godfrey,m/1014536-my_man_godfrey,Gregory La Cava,My Man Godfrey,Fresh,97.0
tt0028096,1936,7.5,The Petrified Forest,m/the_petrified_forest,Archie Mayo,The Petrified Forest,Fresh,100.0
tt0028212,1936,7.0,Sabotage,m/1018044-sabotage,Alfred Hitchcock,Sabotage,Fresh,100.0
tt0028231,1936,6.4,Secret Agent,,Alfred Hitchcock,,,
tt0028333,1936,7.5,Swing Time,m/1020729-swing_time,George Stevens,Swing Time,Fresh,97.0
tt0028346,1936,3.7,Reefer Madness,,Louis J. Gasnier,,,
tt0028358,1936,6.6,Things to Come,m/things_to_come,William Cameron Menzies,Things to Come,Fresh,93.0
tt0028597,1937,7.7,The Awful Truth,m/awful_truth,Leo McCarey,The Awful Truth,Fresh,93.0
tt0028683,1936,7.3,Camille,m/1003441-camille,George Cukor,Camille,Fresh,93.0
tt0028691,1937,8.0,Captains Courageous,m/1003531-captains_courageous,Victor Fleming,Captains Courageous,Fresh,94.0
tt0028772,1937,7.5,A Day at the Races,m/day_at_the_races,Sam Wood,A Day at the Races,Fresh,94.0
tt0028950,1937,8.1,The Grand Illusion,,Jean Renoir,,,
tt0029146,1937,7.2,The Life of Emile Zola,m/life_of_emile_zola,William Dieterle,The Life of Emile Zola,Fresh,82.0
tt0029162,1937,7.6,Lost Horizon,m/lost_horizon,Frank Capra,Lost Horizon,Fresh,93.0
tt0029192,1937,8.2,Make Way for Tomorrow,,Leo McCarey,,,
tt0029284,1940,7.3,My Favorite Wife,m/my_favorite_wife,Garson Kanin,My Favorite Wife,Fresh,85.0
tt0029322,1937,6.9,Nothing Sacred,,William A. Wellman,,,
tt0029453,1937,7.7,Pépé le Moko,m/pepe_le_moko_1937,Julien Duvivier,Pépé le Moko,Fresh,100.0
tt0029546,1937,7.5,Shall We Dance,m/1018711-shall_we_dance,Mark Sandrich,Shall We Dance,Fresh,89.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Ben Sharpsteen,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,William Cottrell,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,David Hand,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Wilfred Jackson,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Larry Morey,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Perce Pearce,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029604,1937,7.7,Stage Door,m/stage_door,Gregory La Cava,Stage Door,Fresh,96.0
tt0029606,1937,7.3,A Star Is Born,,William A. Wellman,,,
tt0029606,1937,7.3,A Star Is Born,,Jack Conway,,,
tt0029606,1937,7.3,A Star Is Born,,Victor Fleming,,,
tt0029682,1937,7.2,Topper,,Norman Z. McLeod,,,
tt0029747,1937,7.6,Way Out West,,James W. Horne,,,
tt0029811,1937,6.8,Young and Innocent,m/young_and_innocent,Alfred Hitchcock,Young and Innocent,Fresh,100.0
tt0029843,1938,7.9,The Adventures of Robin Hood,m/1000355-adventures_of_robin_hood,Michael Curtiz,The Adventures of Robin Hood,Certified-Fresh,100.0
tt0029843,1938,7.9,The Adventures of Robin Hood,m/1000355-adventures_of_robin_hood,William Keighley,The Adventures of Robin Hood,Certified-Fresh,100.0
tt0029850,1938,7.5,Alexander Nevsky,,Sergei Eisenstein,,,
tt0029850,1938,7.5,Alexander Nevsky,,Dmitriy Vasilev,,,
tt0029947,1938,7.8,Bringing Up Baby,m/bringing_up_baby,Howard Hawks,Bringing Up Baby,Certified-Fresh,93.0
tt0029957,1938,7.5,La Bête Humaine,,Jean Renoir,,,
tt0029992,1938,7.5,A Christmas Carol,m/1004125-christmas_carol,Edwin L. Marin,A Christmas Carol,Fresh,100.0
tt0030241,1938,7.7,Holiday,m/holiday,George Cukor,Holiday,Fresh,100.0
tt0030287,1938,7.4,Jezebel,,William Wyler,,,
tt0030341,1938,7.8,The Lady Vanishes,m/1011813-lady_vanishes,Alfred Hitchcock,The Lady Vanishes,Certified-Fresh,98.0
tt0030637,1938,7.8,Pygmalion,,Anthony Asquith,,,
tt0030643,1938,7.7,Port of Shadows,,Marcel Carné,,,
tt0030993,1938,7.8,You Can't Take It with You,m/you_cant_take_it_with_you_1938,Frank Capra,You Can't Take It With You,Certified-Fresh,93.0
tt0031022,1939,7.3,The Adventures of Sherlock Holmes,,Alfred L. Werker,,,
tt0031047,1939,7.4,Another Thin Man,m/another_thin_man,W.S. Van Dyke,Another Thin Man,Fresh,82.0
tt0031060,1939,6.8,At the Circus,,Edward Buzzell,,,
tt0031088,1939,7.6,Beau Geste,,William A. Wellman,,,
tt0031210,1939,7.5,Dark Victory,m/dark_victory,Edmund Goulding,Dark Victory,Fresh,88.0
tt0031225,1939,7.6,Destry Rides Again,m/destry_rides_again,George Marshall,Destry Rides Again,Fresh,96.0
tt0031252,1939,7.0,Drums Along the Mohawk,m/drums_along_the_mohawk,John Ford,Drums Along the Mohawk,Fresh,82.0
tt0031334,1939,7.5,The Four Feathers,m/1007745-four_feathers,Zoltan Korda,The Four Feathers,Fresh,100.0
tt0031381,1939,8.2,Gone with the Wind,,Victor Fleming,,,
tt0031381,1939,8.2,Gone with the Wind,,George Cukor,,,
tt0031381,1939,8.2,Gone with the Wind,,Sam Wood,,,
tt0031385,1939,7.9,"Goodbye, Mr. Chips",,Sam Wood,,,
tt0031385,1939,7.9,"Goodbye, Mr. Chips",,Sidney Franklin,,,
tt0031398,1939,7.2,Gunga Din,m/gunga_din,George Stevens,Gunga Din,Fresh,92.0
tt0031448,1939,7.4,The Hound of the Baskervilles,m/1010002-hound_of_the_baskervilles,Sidney Lanfield,The Hound of the Baskervilles,Fresh,91.0
tt0031455,1939,7.8,The Hunchback of Notre Dame,m/1010215-hunchback_of_notre_dame,William Dieterle,The Hunchback of Notre Dame,Fresh,93.0
tt0031505,1939,6.3,Jamaica Inn,m/1010889-jamaica_inn,Alfred Hitchcock,Jamaica Inn,Rotten,57.0
tt0031514,1939,7.7,Le Jour Se Leve,,Marcel Carné,,,
tt0031679,1939,8.1,Mr. Smith Goes to Washington,m/mr_smith_goes_to_washington,Frank Capra,Mr. Smith Goes to Washington,Certified-Fresh,96.0
tt0031725,1939,7.8,Ninotchka,m/ninotchka,Ernst Lubitsch,Ninotchka,Fresh,97.0
tt0031742,1939,7.9,Of Mice and Men,m/1083121-of_mice_and_men,Lewis Milestone,Of Mice and Men,Fresh,100.0
tt0031762,1939,7.6,Only Angels Have Wings,m/only_angels_have_wings,Howard Hawks,Only Angels Have Wings,Fresh,100.0
tt0031885,1939,7.9,The Rules of the Game,,Jean Renoir,,,
tt0031951,1939,7.1,Son of Frankenstein,m/son_of_frankenstein,Rowland V. Lee,Son of Frankenstein,Fresh,95.0
tt0031971,1939,7.8,Stagecoach,m/1019774-stagecoach,John Ford,Stagecoach,Certified-Fresh,100.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,King Vidor,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,Victor Fleming,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,George Cukor,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,Mervyn LeRoy,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,Norman Taurog,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,Richard Thorpe,The Wizard of Oz,Certified-Fresh,98.0
tt0032143,1939,7.7,The Women,m/1023906-women,George Cukor,The Women,Fresh,92.0
tt0032145,1939,7.5,Wuthering Heights,m/1024192-wuthering_heights,William Wyler,Wuthering Heights,Fresh,96.0
tt0032155,1939,7.5,Young Mr. Lincoln,m/young_mr_lincoln,John Ford,Young Mr. Lincoln,Fresh,100.0
tt0032234,1940,7.1,The Bank Dick,,Edward F. Cline,,,
tt0032455,1940,7.7,Fantasia,,Jim Handley,,,
tt0032455,1940,7.7,Fantasia,,James Algar,,,
tt0032455,1940,7.7,Fantasia,,Samuel Armstrong,,,
tt0032455,1940,7.7,Fantasia,,Ford Beebe Jr.,,,
tt0032455,1940,7.7,Fantasia,,Norman Ferguson,,,
tt0032455,1940,7.7,Fantasia,,David Hand,,,
tt0032484,1940,7.5,Foreign Correspondent,m/foreign_correspondent,Alfred Hitchcock,Foreign Correspondent,Fresh,95.0
tt0032551,1940,8.1,The Grapes of Wrath,m/grapes_of_wrath,John Ford,The Grapes of Wrath,Certified-Fresh,100.0
tt0032599,1940,7.8,His Girl Friday,m/his_girl_friday,Howard Hawks,His Girl Friday,Certified-Fresh,98.0
tt0032762,1940,7.5,The Mark of Zorro,m/1083004-mark_of_zorro,Rouben Mamoulian,The Mark of Zorro,Fresh,91.0
tt0032904,1940,7.9,The Philadelphia Story,m/philadelphia_story,George Cukor,The Philadelphia Story,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Bill Roberts,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Norman Ferguson,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,T. Hee,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Wilfred Jackson,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Jack Kinney,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Hamilton Luske,Pinocchio,Certified-Fresh,100.0
tt0032943,1940,7.4,Pride and Prejudice,m/1016698-pride_and_prejudice,Robert Z. Leonard,Pride and Prejudice,Fresh,100.0
tt0033028,1940,7.6,The Sea Hawk,m/1018433-sea_hawk,Michael Curtiz,The Sea Hawk,Fresh,93.0
tt0033045,1940,8.0,The Shop Around the Corner,m/shop_around_the_corner,Ernst Lubitsch,The Shop Around the Corner,Fresh,100.0
tt0033152,1940,7.4,The Thief of Bagdad,,William Cameron Menzies,,,
tt0033152,1940,7.4,The Thief of Bagdad,,Ludwig Berger,,,
tt0033152,1940,7.4,The Thief of Bagdad,,Michael Powell,,,
tt0033152,1940,7.4,The Thief of Bagdad,,Tim Whelan,,,
tt0033152,1940,7.4,The Thief of Bagdad,,Alexander Korda,,,
tt0033152,1940,7.4,The Thief of Bagdad,,Zoltan Korda,,,
tt0033238,1940,7.7,Waterloo Bridge,m/waterloo_bridge,Mervyn LeRoy,Waterloo Bridge,Fresh,80.0
tt0033253,1940,7.3,The Westerner,,William Wyler,,,
tt0033373,1941,7.7,Ball of Fire,m/ball_of_fire,Howard Hawks,Ball of Fire,Fresh,100.0
tt0033553,1941,6.8,Dr. Jekyll and Mr. Hyde,,Victor Fleming,,,
tt0033563,1941,7.2,Dumbo,m/dumbo,Ben Sharpsteen,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Samuel Armstrong,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Norman Ferguson,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Wilfred Jackson,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Jack Kinney,Dumbo,Certified-Fresh,98.0
tt0033563,1941,7.2,Dumbo,m/dumbo,Bill Roberts,Dumbo,Certified-Fresh,98.0
tt0033627,1941,7.3,49th Parallel,,Michael Powell,,,
tt0033712,1941,7.6,Here Comes Mr. Jordan,m/here_comes_mr_jordan,Alexander Hall,Here Comes Mr. Jordan,Fresh,100.0
tt0033717,1941,7.5,High Sierra,m/high_sierra,Raoul Walsh,High Sierra,Fresh,90.0
tt0033729,1941,7.7,How Green Was My Valley,m/how_green_was_my_valley,John Ford,How Green Was My Valley,Certified-Fresh,89.0
tt0033804,1941,7.7,The Lady Eve,m/lady_eve,Preston Sturges,The Lady Eve,Certified-Fresh,100.0
tt0033836,1941,7.9,The Little Foxes,m/little_foxes,William Wyler,The Little Foxes,Fresh,100.0
tt0033874,1942,7.5,The Man Who Came to Dinner,,William Keighley,,,
tt0033891,1941,7.6,Meet John Doe,m/meet_john_doe,Frank Capra,Meet John Doe,Fresh,91.0
tt0033922,1941,6.3,Mr. & Mrs. Smith,m/1014325-mr_and_mrs_smith,Alfred Hitchcock,Mr. & Mrs. Smith,Fresh,67.0
tt0034012,1941,7.1,Penny Serenade,m/penny_serenade,George Stevens,Penny Serenade,Fresh,94.0
tt0034167,1941,7.7,Sergeant York,m/sergeant_york,Howard Hawks,Sergeant York,Fresh,86.0
tt0034172,1941,7.2,Shadow of the Thin Man,m/shadow_of_the_thin_man,W.S. Van Dyke,Shadow of the Thin Man,Fresh,83.0
tt0034240,1941,7.9,Sullivan's Travels,m/sullivans_travels,Preston Sturges,Sullivan's Travels,Fresh,100.0
tt0034277,1941,7.2,They Died with Their Boots On,,Raoul Walsh,,,
tt0034398,1941,7.2,The Wolf Man,m/wolf_man,George Waggner,The Wolf Man,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Paul Satterfield,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,James Algar,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Samuel Armstrong,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,David Hand,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Graham Heid,Bambi,Certified-Fresh,90.0
tt0034492,1942,7.3,Bambi,m/bambi,Bill Roberts,Bambi,Certified-Fresh,90.0
tt0034583,1942,8.5,Casablanca,m/1003707-casablanca,Michael Curtiz,Casablanca,Certified-Fresh,99.0
tt0034587,1942,7.2,Cat People,m/1003757-cat_people,Jacques Tourneur,Cat People,Certified-Fresh,95.0
tt0034786,1942,6.1,The Ghost of Frankenstein,,Erle C. Kenton,,,
tt0034862,1942,7.3,Holiday Inn,m/holiday_inn,Mark Sandrich,Holiday Inn,Fresh,100.0
tt0034862,1942,7.3,Holiday Inn,m/holiday_inn,Robert Allen,Holiday Inn,Fresh,100.0
