tconst,Year,IMDb rating,Movie title,Staff name,dir_mov,dir_mov_set
tt0107034,1993,6.4,The Good Son,Joseph Ruben,The Good Son Joseph Ruben,"frozenset({'Joseph', 'Good', 'The', 'Son', 'Ruben'})"
tt0107048,1993,8.1,Groundhog Day,Harold Ramis,Groundhog Day Harold Ramis,"frozenset({'Day', 'Groundhog', 'Harold', 'Ramis'})"
tt0107050,1993,7.0,Grumpy Old Men,Donald Petrie,Grumpy Old Men Donald Petrie,"frozenset({'Donald', 'Men', 'Old', 'Petrie', 'Grumpy'})"
tt0107076,1993,6.2,Hard Target,John Woo,Hard Target John Woo,"frozenset({'Hard', 'John', 'Target', 'Woo'})"
tt0107091,1993,7.0,Heart and Souls,Ron Underwood,Heart and Souls Ron Underwood,"frozenset({'and', 'Heart', 'Souls', 'Ron', 'Underwood'})"
tt0107096,1993,6.8,Heaven & Earth,Oliver Stone,Heaven & Earth Oliver Stone,"frozenset({'Heaven', 'Oliver', '&', 'Stone', 'Earth'})"
tt0107120,1993,6.9,Hocus Pocus,Kenny Ortega,Hocus Pocus Kenny Ortega,"frozenset({'Kenny', 'Hocus', 'Pocus', 'Ortega'})"
tt0107131,1993,6.9,Homeward Bound: The Incredible Journey,Duwayne Dunham,Homeward Bound: The Incredible Journey Duwayne Dunham,"frozenset({'Journey', 'Bound:', 'Incredible', 'The', 'Homeward', 'Duwayne', 'Dunham'})"
tt0107144,1993,6.6,Hot Shots! Part Deux,Jim Abrahams,Hot Shots! Part Deux Jim Abrahams,"frozenset({'Hot', 'Part', 'Shots!', 'Abrahams', 'Deux', 'Jim'})"
tt0107151,1993,6.9,The House of the Spirits,Bille August,The House of the Spirits Bille August,"frozenset({'House', 'of', 'Spirits', 'Bille', 'The', 'August', 'the'})"
tt0107156,1993,7.6,The Wedding Banquet,Ang Lee,The Wedding Banquet Ang Lee,"frozenset({'Lee', 'Ang', 'Wedding', 'The', 'Banquet'})"
tt0107206,1993,7.2,In the Line of Fire,Wolfgang Petersen,In the Line of Fire Wolfgang Petersen,"frozenset({'Petersen', 'of', 'Fire', 'Line', 'In', 'the', 'Wolfgang'})"
tt0107207,1993,8.1,In the Name of the Father,Jim Sheridan,In the Name of the Father Jim Sheridan,"frozenset({'Sheridan', 'of', 'Name', 'In', 'the', 'Father', 'Jim'})"
tt0107209,1993,7.2,"Faraway, So Close!",Wim Wenders,"Faraway, So Close! Wim Wenders","frozenset({'Wenders', 'Wim', 'Faraway,', 'Close!', 'So'})"
tt0107211,1993,6.0,Indecent Proposal,Adrian Lyne,Indecent Proposal Adrian Lyne,"frozenset({'Indecent', 'Adrian', 'Lyne', 'Proposal'})"
tt0107254,1993,4.1,Jason Goes to Hell: The Final Friday,Adam Marcus,Jason Goes to Hell: The Final Friday Adam Marcus,"frozenset({'to', 'Final', 'Adam', 'Jason', 'Goes', 'Hell:', 'The', 'Friday', 'Marcus'})"
tt0107282,1993,7.7,The Joy Luck Club,Wayne Wang,The Joy Luck Club Wayne Wang,"frozenset({'Wayne', 'The', 'Joy', 'Club', 'Luck', 'Wang'})"
tt0107286,1993,6.6,Judgment Night,Stephen Hopkins,Judgment Night Stephen Hopkins,"frozenset({'Stephen', 'Judgment', 'Night', 'Hopkins'})"
tt0107290,1993,8.2,Jurassic Park,Steven Spielberg,Jurassic Park Steven Spielberg,"frozenset({'Spielberg', 'Park', 'Steven', 'Jurassic'})"
tt0107302,1993,6.7,Kalifornia,Dominic Sena,Kalifornia Dominic Sena,"frozenset({'Kalifornia', 'Dominic', 'Sena'})"
tt0107315,1993,6.5,Kika,Pedro Almodóvar,Kika Pedro Almodóvar,"frozenset({'Kika', 'Almodóvar', 'Pedro'})"
tt0107322,1993,7.4,King of the Hill,Steven Soderbergh,King of the Hill Steven Soderbergh,"frozenset({'Hill', 'Soderbergh', 'of', 'the', 'King', 'Steven'})"
tt0107362,1993,6.4,Last Action Hero,John McTiernan,Last Action Hero John McTiernan,"frozenset({'Action', 'McTiernan', 'Last', 'John', 'Hero'})"
tt0107387,1993,4.7,Leprechaun,Mark Jones,Leprechaun Mark Jones,"frozenset({'Leprechaun', 'Mark', 'Jones'})"
tt0107413,1993,5.6,Life with Mikey,James Lapine,Life with Mikey James Lapine,"frozenset({'Lapine', 'Life', 'Mikey', 'James', 'with'})"
tt0107426,1993,6.1,Little Buddha,Bernardo Bertolucci,Little Buddha Bernardo Bertolucci,"frozenset({'Buddha', 'Bertolucci', 'Bernardo', 'Little'})"
tt0107438,1993,4.4,Look Who's Talking Now,Tom Ropelewski,Look Who's Talking Now Tom Ropelewski,"frozenset({'Ropelewski', 'Now', 'Talking', 'Tom', ""Who's"", 'Look'})"
tt0107468,1993,6.7,M. Butterfly,David Cronenberg,M. Butterfly David Cronenberg,"frozenset({'David', 'M.', 'Cronenberg', 'Butterfly'})"
tt0107473,1993,6.2,Mad Dog and Glory,John McNaughton,Mad Dog and Glory John McNaughton,"frozenset({'and', 'Dog', 'McNaughton', 'Mad', 'Glory', 'John'})"
tt0107478,1993,5.1,Made in America,Richard Benjamin,Made in America Richard Benjamin,"frozenset({'America', 'Made', 'Richard', 'Benjamin', 'in'})"
tt0107497,1993,6.4,Malice,Harold Becker,Malice Harold Becker,"frozenset({'Harold', 'Malice', 'Becker'})"
tt0107529,1993,6.9,Matinee,Joe Dante,Matinee Joe Dante,"frozenset({'Matinee', 'Joe', 'Dante'})"
tt0107554,1993,7.5,Menace II Society,Albert Hughes Allen Hughes,Menace II Society Albert Hughes Allen Hughes,"frozenset({'Menace', 'Albert', 'II', 'Hughes', 'Allen', 'Society'})"
tt0107611,1993,5.8,Mr. Jones,Mike Figgis Jon Amiel,Mr. Jones Mike Figgis Jon Amiel,"frozenset({'Mike', 'Figgis', 'Amiel', 'Mr.', 'Jones', 'Jon'})"
tt0107612,1993,3.8,Mr. Nanny,Michael Gottlieb,Mr. Nanny Michael Gottlieb,"frozenset({'Mr.', 'Nanny', 'Michael', 'Gottlieb'})"
tt0107614,1993,7.1,Mrs. Doubtfire,Chris Columbus,Mrs. Doubtfire Chris Columbus,"frozenset({'Chris', 'Columbus', 'Doubtfire', 'Mrs.'})"
tt0107617,1993,7.3,The Scent of Green Papaya,Anh Hung Tran,The Scent of Green Papaya Anh Hung Tran,"frozenset({'of', 'Papaya', 'Green', 'Anh', 'Scent', 'The', 'Tran', 'Hung'})"
tt0107630,1993,6.8,My Life,Bruce Joel Rubin,My Life Bruce Joel Rubin,"frozenset({'My', 'Joel', 'Bruce', 'Rubin', 'Life'})"
tt0107653,1993,7.7,Naked,Mike Leigh,Naked Mike Leigh,"frozenset({'Mike', 'Naked', 'Leigh'})"
tt0107659,1993,6.2,Loaded Weapon 1,Gene Quintano,Loaded Weapon 1 Gene Quintano,"frozenset({'Quintano', 'Weapon', '1', 'Gene', 'Loaded'})"
tt0107664,1993,5.8,Necronomicon: Book of Dead,Christophe Gans Shûsuke Kaneko,Necronomicon: Book of Dead Christophe Gans Shûsuke Kaneko,"frozenset({'Book', 'Christophe', 'Gans', 'Shûsuke', 'of', 'Necronomicon:', 'Kaneko', 'Dead'})"
tt0107665,1993,6.2,Needful Things,Fraser C. Heston,Needful Things Fraser C. Heston,"frozenset({'Fraser', 'Heston', 'Things', 'C.', 'Needful'})"
tt0107688,1993,7.9,The Nightmare Before Christmas,Henry Selick,The Nightmare Before Christmas Henry Selick,"frozenset({'Selick', 'Christmas', 'Before', 'Nightmare', 'The', 'Henry'})"
tt0107692,1993,7.8,Ninja Scroll,Yoshiaki Kawajiri,Ninja Scroll Yoshiaki Kawajiri,"frozenset({'Ninja', 'Scroll', 'Yoshiaki', 'Kawajiri'})"
tt0107711,1993,5.7,Nowhere to Run,Robert Harmon,Nowhere to Run Robert Harmon,"frozenset({'to', 'Robert', 'Nowhere', 'Harmon', 'Run'})"
tt0107750,1993,6.5,Only the Strong,Sheldon Lettich,Only the Strong Sheldon Lettich,"frozenset({'Only', 'Strong', 'Lettich', 'Sheldon', 'the'})"
tt0107756,1992,7.1,Orlando,Sally Potter,Orlando Sally Potter,"frozenset({'Orlando', 'Sally', 'Potter'})"
tt0107798,1993,6.6,The Pelican Brief,Alan J. Pakula,The Pelican Brief Alan J. Pakula,"frozenset({'Brief', 'Alan', 'Pelican', 'Pakula', 'The', 'J.'})"
tt0107818,1993,7.7,Philadelphia,Jonathan Demme,Philadelphia Jonathan Demme,"frozenset({'Jonathan', 'Demme', 'Philadelphia'})"
tt0107822,1993,7.5,The Piano,Jane Campion,The Piano Jane Campion,"frozenset({'Campion', 'The', 'Piano', 'Jane'})"
tt0107840,1993,6.1,Poetic Justice,John Singleton,Poetic Justice John Singleton,"frozenset({'Singleton', 'John', 'Poetic', 'Justice'})"
tt0107843,1993,6.1,Point of No Return,John Badham,Point of No Return John Badham,"frozenset({'Return', 'Badham', 'Point', 'of', 'No', 'John'})"
tt0107889,1993,6.4,The Program,David S. Ward,The Program David S. Ward,"frozenset({'Ward', 'Program', 'The', 'David', 'S.'})"
tt0107927,1993,5.5,The Real McCoy,Russell Mulcahy,The Real McCoy Russell Mulcahy,"frozenset({'Russell', 'Real', 'The', 'McCoy', 'Mulcahy'})"
tt0107943,1993,7.8,The Remains of the Day,James Ivory,The Remains of the Day James Ivory,"frozenset({'of', 'Remains', 'Ivory', 'The', 'James', 'Day', 'the'})"
tt0107953,1993,5.9,Return of the Living Dead III,Brian Yuzna,Return of the Living Dead III Brian Yuzna,"frozenset({'Return', 'Brian', 'of', 'Yuzna', 'Living', 'III', 'the', 'Dead'})"
tt0107969,1993,6.2,Rising Sun,Philip Kaufman,Rising Sun Philip Kaufman,"frozenset({'Philip', 'Sun', 'Rising', 'Kaufman'})"
tt0107977,1993,6.7,Robin Hood: Men in Tights,Mel Brooks,Robin Hood: Men in Tights Mel Brooks,"frozenset({'Mel', 'Hood:', 'Men', 'Tights', 'Robin', 'Brooks', 'in'})"
tt0107978,1993,4.1,RoboCop 3,Fred Dekker,RoboCop 3 Fred Dekker,"frozenset({'Fred', 'RoboCop', 'Dekker', '3'})"
tt0107983,1993,6.6,Romeo Is Bleeding,Peter Medak,Romeo Is Bleeding Peter Medak,"frozenset({'Romeo', 'Bleeding', 'Peter', 'Medak', 'Is'})"
tt0107985,1993,6.0,Rookie of the Year,Daniel Stern,Rookie of the Year Daniel Stern,"frozenset({'Daniel', 'Stern', 'of', 'Year', 'the', 'Rookie'})"
tt0108002,1993,7.5,Rudy,David Anspaugh,Rudy David Anspaugh,"frozenset({'David', 'Anspaugh', 'Rudy'})"
tt0108037,1993,7.8,The Sandlot,David Mickey Evans,The Sandlot David Mickey Evans,"frozenset({'Evans', 'The', 'David', 'Sandlot', 'Mickey'})"
tt0108052,1993,9.0,Schindler's List,Steven Spielberg,Schindler's List Steven Spielberg,"frozenset({'List', 'Steven', 'Spielberg', ""Schindler's""})"
tt0108065,1993,7.4,Searching for Bobby Fischer,Steven Zaillian,Searching for Bobby Fischer Steven Zaillian,"frozenset({'for', 'Bobby', 'Fischer', 'Zaillian', 'Searching', 'Steven'})"
tt0108071,1993,7.3,The Secret Garden,Agnieszka Holland,The Secret Garden Agnieszka Holland,"frozenset({'Holland', 'Agnieszka', 'Garden', 'The', 'Secret'})"
tt0108101,1993,7.4,Shadowlands,Richard Attenborough,Shadowlands Richard Attenborough,"frozenset({'Shadowlands', 'Richard', 'Attenborough'})"
tt0108122,1993,7.7,Short Cuts,Robert Altman,Short Cuts Robert Altman,"frozenset({'Short', 'Robert', 'Cuts', 'Altman'})"
tt0108147,1993,5.6,Sister Act 2: Back in the Habit,Bill Duke,Sister Act 2: Back in the Habit Bill Duke,"frozenset({'Duke', 'Back', 'Habit', 'Act', 'Sister', 'Bill', '2:', 'in', 'the'})"
tt0108148,1993,7.5,Iron Monkey,Woo-Ping Yuen,Iron Monkey Woo-Ping Yuen,"frozenset({'Yuen', 'Monkey', 'Woo-Ping', 'Iron'})"
tt0108149,1993,6.8,Six Degrees of Separation,Fred Schepisi,Six Degrees of Separation Fred Schepisi,"frozenset({'Separation', 'of', 'Schepisi', 'Fred', 'Degrees', 'Six'})"
tt0108160,1993,6.8,Sleepless in Seattle,Nora Ephron,Sleepless in Seattle Nora Ephron,"frozenset({'Seattle', 'Sleepless', 'Nora', 'Ephron', 'in'})"
tt0108162,1993,5.0,Sliver,Phillip Noyce,Sliver Phillip Noyce,"frozenset({'Phillip', 'Sliver', 'Noyce'})"
tt0108171,1993,6.1,Sniper,Luis Llosa,Sniper Luis Llosa,"frozenset({'Sniper', 'Luis', 'Llosa'})"
tt0108174,1993,6.4,So I Married an Axe Murderer,Thomas Schlamme,So I Married an Axe Murderer Thomas Schlamme,"frozenset({'Thomas', 'Murderer', 'an', 'Axe', 'Schlamme', 'Married', 'I', 'So'})"
tt0108185,1993,6.2,Sommersby,Jon Amiel,Sommersby Jon Amiel,"frozenset({'Jon', 'Sommersby', 'Amiel'})"
tt0108186,1993,5.8,Son in Law,Steve Rash,Son in Law Steve Rash,"frozenset({'Steve', 'Law', 'Rash', 'Son', 'in'})"
tt0108211,1993,7.5,Stalingrad,Joseph Vilsmaier,Stalingrad Joseph Vilsmaier,"frozenset({'Vilsmaier', 'Joseph', 'Stalingrad'})"
tt0108238,1993,5.8,Striking Distance,Rowdy Herrington,Striking Distance Rowdy Herrington,"frozenset({'Distance', 'Rowdy', 'Herrington', 'Striking'})"
tt0108255,1993,4.1,Super Mario Bros.,Annabel Jankel Rocky Morton,Super Mario Bros. Annabel Jankel Rocky Morton,"frozenset({'Super', 'Mario', 'Bros.', 'Rocky', 'Annabel', 'Morton', 'Jankel'})"
tt0108258,1993,5.0,Surf Ninjas,Neal Israel,Surf Ninjas Neal Israel,"frozenset({'Israel', 'Neal', 'Ninjas', 'Surf'})"
tt0108265,1993,6.7,Swing Kids,Thomas Carter,Swing Kids Thomas Carter,"frozenset({'Carter', 'Thomas', 'Swing', 'Kids'})"
tt0108281,1993,7.2,Tai Chi Master,Woo-Ping Yuen,Tai Chi Master Woo-Ping Yuen,"frozenset({'Tai', 'Chi', 'Yuen', 'Master', 'Woo-Ping'})"
tt0108308,1993,4.8,Teenage Mutant Ninja Turtles III,Stuart Gillard,Teenage Mutant Ninja Turtles III Stuart Gillard,"frozenset({'Teenage', 'Mutant', 'Turtles', 'Ninja', 'III', 'Stuart', 'Gillard'})"
tt0108327,1993,6.4,The Thing Called Love,Peter Bogdanovich,The Thing Called Love Peter Bogdanovich,"frozenset({'Called', 'Thing', 'Peter', 'The', 'Love', 'Bogdanovich'})"
tt0108330,1993,7.3,This Boy's Life,Michael Caton-Jones,This Boy's Life Michael Caton-Jones,"frozenset({'This', 'Michael', 'Caton-Jones', 'Life', ""Boy's""})"
tt0108333,1993,6.3,The Three Musketeers,Stephen Herek,The Three Musketeers Stephen Herek,"frozenset({'Musketeers', 'Three', 'Stephen', 'The', 'Herek'})"
tt0108358,1993,7.8,Tombstone,George P. Cosmatos Kevin Jarre,Tombstone George P. Cosmatos Kevin Jarre,"frozenset({'Jarre', 'P.', 'George', 'Tombstone', 'Cosmatos', 'Kevin'})"
tt0108394,1993,7.9,Three Colors: Blue,Krzysztof Kieslowski,Three Colors: Blue Krzysztof Kieslowski,"frozenset({'Three', 'Kieslowski', 'Colors:', 'Krzysztof', 'Blue'})"
tt0108395,1994,5.3,A Troll in Central Park,Don Bluth Gary Goldman,A Troll in Central Park Don Bluth Gary Goldman,"frozenset({'Central', 'Gary', 'Don', 'Goldman', 'Park', 'Bluth', 'A', 'in', 'Troll'})"
tt0108399,1993,7.9,True Romance,Tony Scott,True Romance Tony Scott,"frozenset({'Scott', 'True', 'Tony', 'Romance'})"
tt0108442,1993,6.0,Undercover Blues,Herbert Ross,Undercover Blues Herbert Ross,"frozenset({'Undercover', 'Blues', 'Herbert', 'Ross'})"
tt0108451,1993,6.8,Untamed Heart,Tony Bill,Untamed Heart Tony Bill,"frozenset({'Bill', 'Untamed', 'Heart', 'Tony'})"
tt0108473,1993,6.3,The Vanishing,George Sluizer,The Vanishing George Sluizer,"frozenset({'George', 'Sluizer', 'The', 'Vanishing'})"
tt0108500,1993,7.0,Les visiteurs,Jean-Marie Poiré,Les visiteurs Jean-Marie Poiré,"frozenset({'Jean-Marie', 'visiteurs', 'Les', 'Poiré'})"
tt0108517,1993,5.4,Warlock: The Armageddon,Anthony Hickox,Warlock: The Armageddon Anthony Hickox,"frozenset({'Armageddon', 'Anthony', 'Warlock:', 'Hickox', 'The'})"
tt0108525,1993,6.2,Wayne's World 2,Stephen Surjik,Wayne's World 2 Stephen Surjik,"frozenset({'Surjik', 'World', 'Stephen', ""Wayne's"", '2'})"
tt0108526,1993,6.0,We're Back! A Dinosaur's Story,Phil Nibbelink Simon Wells Dick Zondag Ralph Zondag,We're Back! A Dinosaur's Story Phil Nibbelink Simon Wells Dick Zondag Ralph Zondag,"frozenset({'Nibbelink', 'Ralph', ""Dinosaur's"", 'Phil', ""We're"", 'Dick', 'Story', 'Back!', 'Zondag', 'Wells', 'A', 'Simon'})"
tt0108539,1993,4.8,Weekend at Bernie's II,Robert Klane,Weekend at Bernie's II Robert Klane,"frozenset({""Bernie's"", 'Robert', 'at', 'Klane', 'Weekend', 'II'})"
tt0108550,1993,7.7,What's Eating Gilbert Grape,Lasse Hallström,What's Eating Gilbert Grape Lasse Hallström,"frozenset({'Hallström', 'Grape', ""What's"", 'Eating', 'Lasse', 'Gilbert'})"
tt0108551,1993,7.3,What's Love Got to Do with It,Brian Gibson,What's Love Got to Do with It Brian Gibson,"frozenset({'to', 'Do', 'Got', 'Brian', 'Gibson', ""What's"", 'with', 'Love', 'It'})"
tt0108560,1993,5.3,Who's the Man?,Ted Demme,Who's the Man? Ted Demme,"frozenset({'Demme', 'Man?', 'the', ""Who's"", 'Ted'})"
tt0108592,1992,6.7,Once Upon a Time in China III,Hark Tsui,Once Upon a Time in China III Hark Tsui,"frozenset({'Tsui', 'Time', 'Hark', 'China', 'III', 'Upon', 'in', 'Once', 'a'})"
tt0108656,1993,6.7,Crime Story,Kirk Wong,Crime Story Kirk Wong,"frozenset({'Kirk', 'Wong', 'Crime', 'Story'})"
tt0109015,1994,4.5,3 Ninjas Kick Back,Charles T. Kanganis,3 Ninjas Kick Back Charles T. Kanganis,"frozenset({'Ninjas', 'Charles', 'Back', 'Kick', 'Kanganis', '3', 'T.'})"
tt0109020,1994,7.2,71 Fragments of a Chronology of Chance,Michael Haneke,71 Fragments of a Chronology of Chance Michael Haneke,"frozenset({'Chance', 'Michael', 'of', '71', 'Chronology', 'Fragments', 'Haneke', 'a'})"
tt0109035,1994,6.6,Above the Rim,Jeff Pollack,Above the Rim Jeff Pollack,"frozenset({'Above', 'Jeff', 'Rim', 'Pollack', 'the'})"
tt0109040,1994,6.9,Ace Ventura: Pet Detective,Tom Shadyac,Ace Ventura: Pet Detective Tom Shadyac,"frozenset({'Ace', 'Shadyac', 'Pet', 'Ventura:', 'Detective', 'Tom'})"
tt0109045,1994,7.5,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert Stephan Elliott","frozenset({'of', 'Queen', 'Adventures', 'Elliott', 'The', 'Stephan', 'Desert', 'the', 'Priscilla,'})"
tt0109067,1994,5.5,The Air Up There,Paul Michael Glaser,The Air Up There Paul Michael Glaser,"frozenset({'Up', 'Paul', 'Michael', 'Air', 'The', 'There', 'Glaser'})"
tt0109068,1994,6.1,Airheads,Michael Lehmann,Airheads Michael Lehmann,"frozenset({'Airheads', 'Michael', 'Lehmann'})"
tt0109093,1994,6.8,Amateur,Hal Hartley,Amateur Hal Hartley,"frozenset({'Hal', 'Amateur', 'Hartley'})"
tt0109117,1994,8.0,Andaz Apna Apna,Rajkumar Santoshi,Andaz Apna Apna Rajkumar Santoshi,"frozenset({'Apna', 'Andaz', 'Santoshi', 'Rajkumar'})"
tt0109120,1994,5.7,Andre,George Miller,Andre George Miller,"frozenset({'George', 'Miller', 'Andre'})"
tt0109127,1994,6.2,Angels in the Outfield,William Dear,Angels in the Outfield William Dear,"frozenset({'Outfield', 'Angels', 'William', 'in', 'the', 'Dear'})"
tt0109134,1994,6.6,Anjaam,Rahul Rawail,Anjaam Rahul Rawail,"frozenset({'Anjaam', 'Rawail', 'Rahul'})"
tt0109162,1994,5.9,Asterix in America,Gerhard Hahn,Asterix in America Gerhard Hahn,"frozenset({'America', 'Gerhard', 'Hahn', 'in', 'Asterix'})"
tt0109190,1994,6.1,Baby's Day Out,Patrick Read Johnson,Baby's Day Out Patrick Read Johnson,"frozenset({'Out', 'Read', 'Patrick', 'Johnson', 'Day', ""Baby's""})"
tt0109198,1994,5.2,Bad Girls,Jonathan Kaplan,Bad Girls Jonathan Kaplan,"frozenset({'Girls', 'Kaplan', 'Bad', 'Jonathan'})"
tt0109219,1994,7.0,Barcelona,Whit Stillman,Barcelona Whit Stillman,"frozenset({'Barcelona', 'Whit', 'Stillman'})"
tt0109254,1994,5.5,Beverly Hills Cop III,John Landis,Beverly Hills Cop III John Landis,"frozenset({'Beverly', 'Cop', 'Hills', 'Landis', 'III', 'John'})"
tt0109255,1994,6.5,Maybe... Maybe Not,Sönke Wortmann,Maybe... Maybe Not Sönke Wortmann,"frozenset({'Sönke', 'Not', 'Maybe', 'Maybe...', 'Wortmann'})"
tt0109279,1994,6.6,Black Beauty,Caroline Thompson,Black Beauty Caroline Thompson,"frozenset({'Beauty', 'Thompson', 'Caroline', 'Black'})"
tt0109287,1994,5.2,Blank Check,Rupert Wainwright,Blank Check Rupert Wainwright,"frozenset({'Check', 'Blank', 'Wainwright', 'Rupert'})"
tt0109288,1994,5.0,Blankman,Mike Binder,Blankman Mike Binder,"frozenset({'Mike', 'Blankman', 'Binder'})"
tt0109297,1993,6.2,Blink,Michael Apted,Blink Michael Apted,"frozenset({'Apted', 'Michael', 'Blink'})"
tt0109303,1994,6.2,Blown Away,Stephen Hopkins,Blown Away Stephen Hopkins,"frozenset({'Stephen', 'Blown', 'Away', 'Hopkins'})"
tt0109305,1994,6.2,Blue Chips,William Friedkin,Blue Chips William Friedkin,"frozenset({'Blue', 'William', 'Friedkin', 'Chips'})"
tt0109306,1994,6.4,Blue Sky,Tony Richardson,Blue Sky Tony Richardson,"frozenset({'Blue', 'Richardson', 'Sky', 'Tony'})"
tt0109327,1994,6.0,Brainscan,John Flynn,Brainscan John Flynn,"frozenset({'John', 'Brainscan', 'Flynn'})"
tt0109348,1994,7.4,Bullets Over Broadway,Woody Allen,Bullets Over Broadway Woody Allen,"frozenset({'Bullets', 'Broadway', 'Woody', 'Over', 'Allen'})"
tt0109361,1994,5.2,Cabin Boy,Adam Resnick,Cabin Boy Adam Resnick,"frozenset({'Adam', 'Boy', 'Resnick', 'Cabin'})"
tt0109369,1994,6.0,Camp Nowhere,Jonathan Prince,Camp Nowhere Jonathan Prince,"frozenset({'Jonathan', 'Camp', 'Prince', 'Nowhere'})"
tt0109370,1995,5.9,Canadian Bacon,Michael Moore,Canadian Bacon Michael Moore,"frozenset({'Canadian', 'Moore', 'Bacon', 'Michael'})"
tt0109402,1994,5.8,The Chase,Adam Rifkin,The Chase Adam Rifkin,"frozenset({'Adam', 'The', 'Rifkin', 'Chase'})"
tt0109403,1994,5.1,Chasers,Dennis Hopper,Chasers Dennis Hopper,"frozenset({'Chasers', 'Hopper', 'Dennis'})"
tt0109415,1995,4.2,Children of the Corn III: Urban Harvest,James D.R. Hickox,Children of the Corn III: Urban Harvest James D.R. Hickox,"frozenset({'of', 'Harvest', 'Hickox', 'III:', 'Corn', 'Children', 'James', 'Urban', 'D.R.', 'the'})"
tt0109417,1994,6.3,China Moon,John Bailey,China Moon John Bailey,"frozenset({'Moon', 'John', 'China', 'Bailey'})"
tt0109424,1994,8.0,Chungking Express,Kar-Wai Wong,Chungking Express Kar-Wai Wong,"frozenset({'Chungking', 'Wong', 'Kar-Wai', 'Express'})"
tt0109439,1994,5.6,City Slickers II: The Legend of Curly's Gold,Paul Weiland,City Slickers II: The Legend of Curly's Gold Paul Weiland,"frozenset({'Paul', 'City', 'of', 'II:', 'Legend', ""Curly's"", 'The', 'Weiland', 'Slickers', 'Gold'})"
tt0109440,1994,7.5,Fear City: A Family-Style Comedy,Alain Berbérian,Fear City: A Family-Style Comedy Alain Berbérian,"frozenset({'Family-Style', 'Fear', 'Comedy', 'Alain', 'City:', 'A', 'Berbérian'})"
