level_0,index,tconst,startYear_x,runtimeMinutes_x,genres_x,averageRating,numVotes,primaryTitle,genres,startYear_st,runtimeMinutes_st,averageRating_st,numVotes_st,genre_clean,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,news,reality,romance,sci,sport,thriller,tv,war,western
28,2454,tt0017075,1927,92,"Crime,Drama,Mystery",7.3,12151.0,The Lodger: A Story of the London Fog,Crime,0.11214953271027994,0.09021113243761995,0.7241379310344829,0.002318048286265018,"Crime , Drama , Mystery",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2480,tt0017136,1927,153,"Drama,Sci-Fi",8.3,174634.0,Metropolis,Drama,0.11214953271027994,0.20729366602687138,0.8390804597701151,0.06356088400938678,"Drama , Sci-Fi",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2726,tt0017925,1926,67,"Action,Adventure,Comedy",8.2,91790.0,The General,Action,0.10280373831775691,0.042226487523992315,0.8275862068965518,0.032335454378925134,"Action , Adventure , Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2762,tt0018037,1927,88,"Drama,Music,Musical",6.4,10180.0,The Jazz Singer,Drama,0.11214953271027994,0.08253358925143954,0.6206896551724139,0.001575142079398619,"Drama , Music , Musical",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32,2803,tt0018192,1927,330,"Biography,Drama,History",8.2,7927.0,Napoleon,Biography,0.11214953271027994,0.5470249520153551,0.8275862068965518,0.0007259448779425078,"Biography , Drama , History",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2812,tt0018217,1927,142,"Drama,History",7.4,7970.0,October (Ten Days that Shook the World),Drama,0.11214953271027994,0.18618042226487524,0.7356321839080462,0.0007421523700253366,"Drama , History",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2883,tt0018455,1927,94,"Drama,Romance",8.1,51298.0,Sunrise,Drama,0.11214953271027994,0.09404990403071016,0.8160919540229886,0.01707327369478805,"Drama , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2911,tt0018528,1927,63,"Drama,Horror,Romance",7.8,8149.0,The Unknown,Drama,0.11214953271027994,0.0345489443378119,0.781609195402299,0.000809620767300367,"Drama , Horror , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,2926,tt0018578,1927,144,"Action,Drama,Romance",7.6,13133.0,Wings,Action,0.11214953271027994,0.19001919385796545,0.7586206896551725,0.002688182175226358,"Action , Drama , Romance",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2984,tt0018737,1929,109,"Crime,Drama,Romance",7.8,10958.0,Pandora's Box,Crime,0.130841121495326,0.12284069097888677,0.781609195402299,0.0018683846105716569,"Crime , Drama , Romance",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2988,tt0018742,1928,76,"Comedy,Drama,Family",8.0,11961.0,The Cameraman,Comedy,0.12149532710280297,0.05950095969289827,0.8045977011494254,0.002246433786364147,"Comedy , Drama , Family",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3002,tt0018773,1928,72,"Comedy,Family,Romance",8.1,34028.0,The Circus,Comedy,0.12149532710280297,0.05182341650671786,0.8160919540229886,0.010563892572219452,"Comedy , Family , Romance",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3008,tt0018806,1928,98,"Drama,Romance",8.1,8524.0,The Crowd,Drama,0.12149532710280297,0.1017274472168906,0.8160919540229886,0.0009509651749994535,"Drama , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,3099,tt0019130,1928,110,"Drama,Horror,Mystery",7.7,7128.0,The Man Who Laughs,Drama,0.12149532710280297,0.12476007677543187,0.7701149425287358,0.00042478705993832105,"Drama , Horror , Mystery",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
42,3141,tt0019254,1928,110,"Biography,Drama,History",8.2,55177.0,The Passion of Joan of Arc,Biography,0.12149532710280297,0.12476007677543187,0.8275862068965518,0.018535340248027398,"Biography , Drama , History",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3197,tt0019421,1928,70,"Action,Comedy,Drama",7.8,14873.0,"Steamboat Bill, Jr.",Action,0.12149532710280297,0.047984644913627625,0.781609195402299,0.0033440202269501194,"Action , Comedy , Drama",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3256,tt0019585,1928,95,"Drama,Romance,Thriller",8.0,6752.0,The Wind,Drama,0.12149532710280297,0.09596928982725526,0.8045977011494254,0.00028306573381870403,"Drama , Romance , Thriller",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45,3294,tt0019702,1929,85,"Crime,Thriller",6.9,10894.0,Blackmail,Crime,0.130841121495326,0.07677543186180423,0.6781609195402301,0.0018442618316576796,"Crime , Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,3303,tt0019729,1929,100,"Drama,Musical,Romance",5.6,7365.0,The Broadway Melody,Drama,0.130841121495326,0.10556621880998081,0.5287356321839081,0.0005141167256041438,"Drama , Musical , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
47,3316,tt0019760,1929,68,"Documentary,Music",8.4,25325.0,Man with a Movie Camera,Documentary,0.130841121495326,0.04414587332053742,0.8505747126436783,0.007283571558339056,"Documentary , Music",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,3323,tt0019777,1929,96,"Adventure,Comedy,Musical",6.8,7778.0,The Cocoanuts,Adventure,0.130841121495326,0.0978886756238004,0.6666666666666667,0.0006697840332834043,"Adventure , Comedy , Musical",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,3669,tt0020629,1930,152,"Drama,War",8.1,62527.0,All Quiet on the Western Front,Drama,0.14018691588784904,0.20537428023032628,0.8160919540229886,0.02130569063892949,"Drama , War",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,3674,tt0020640,1930,97,"Comedy,Family,Musical",7.4,14606.0,Animal Crackers,Comedy,0.14018691588784904,0.0998080614203455,0.7356321839080462,0.00324338300866837,"Comedy , Family , Musical",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,3707,tt0020697,1930,104,"Drama,Music",7.7,15249.0,The Blue Angel,Drama,0.14018691588784904,0.11324376199616122,0.7701149425287358,0.003485741553069737,"Drama , Music",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,3898,tt0021079,1931,79,"Action,Crime,Drama",7.2,13491.0,Little Caesar,Action,0.14953271028037207,0.06525911708253358,0.7126436781609197,0.0028231189697764197,"Action , Crime , Drama",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3939,tt0021156,1930,92,"Drama,Romance",7.0,6907.0,Morocco,Drama,0.14018691588784904,0.09021113243761995,0.6896551724137933,0.0003414880890009928,"Drama , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,3943,tt0021165,1930,104,"Crime,Mystery,Thriller",6.3,6476.0,Murder!,Crime,0.14018691588784904,0.11324376199616122,0.6091954022988506,0.00017903624975217644,"Crime , Mystery , Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55,4024,tt0021331,1932,55,Fantasy,7.3,6852.0,The Blood of a Poet,Fantasy,0.1588785046728951,0.01919385796545106,0.7241379310344829,0.00032075757587179347,Fantasy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4158,tt0021577,1930,60,"Comedy,Drama",7.2,14052.0,L'Age d'Or,Comedy,0.14018691588784904,0.028790786948176578,0.7126436781609197,0.003034570203694253,"Comedy , Drama",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4235,tt0021746,1931,123,"Drama,Western",5.8,6293.0,Cimarron,Drama,0.14953271028037207,0.14971209213051823,0.5517241379310346,0.00011006017879502212,"Drama , Western",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,4237,tt0021749,1931,87,"Comedy,Drama,Romance",8.5,184805.0,City Lights,Comedy,0.14953271028037207,0.08061420345489444,0.8620689655172415,0.06739452126460653,"Comedy , Drama , Romance",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
