,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes
472630,tt0120490,1997,103,"Drama,War",6.8,7577.0
477615,tt0122136,1968,99,"Drama,Horror",7.7,7577.0
2568573,tt3236120,2015,92,"Comedy,Drama,Romance",6.7,7577.0
472706,tt0120512,1997,106,"Action,Adventure,Comedy",6.3,7575.0
353685,tt0088001,1984,111,"Comedy,Music",3.9,7574.0
113593,tt0029453,1937,94,"Crime,Drama,Romance",7.7,7569.0
415701,tt0104107,1992,98,"Drama,Sport",6.9,7567.0
241286,tt0060588,1966,134,"Action,Adventure,Drama",6.8,7566.0
1293589,tt0801526,2007,77,Drama,6.0,7566.0
1574598,tt11792734,2020,112,Comedy,3.7,7566.0
254568,tt0064030,1969,145,"Biography,Drama,History",7.4,7565.0
2181939,tt1879030,2011,103,"Drama,Romance",5.4,7565.0
247484,tt0062185,1967,108,"Drama,Romance,Thriller",6.7,7564.0
418340,tt0104740,1989,85,"Adventure,Animation,Comedy",7.1,7563.0
2329935,tt2166616,2013,83,"Comedy,Crime",5.9,7563.0
1276026,tt0762110,2007,103,"Comedy,Drama",7.2,7560.0
1448000,tt1068953,2013,108,Thriller,6.3,7559.0
1485834,tt1100119,2008,89,"Adventure,Comedy,Family",4.7,7558.0
926185,tt0303353,2002,93,"Biography,Documentary",7.3,7557.0
1289051,tt0791309,2007,87,Comedy,5.4,7556.0
2484637,tt2667918,2014,99,Drama,6.3,7555.0
1543858,tt1152822,2010,93,Documentary,6.3,7554.0
391906,tt0097728,1989,79,"Comedy,Music",7.0,7551.0
224864,tt0056552,1962,89,"Comedy,Horror,Mystery",6.8,7550.0
1148113,tt0416220,2004,102,Comedy,7.2,7550.0
1406462,tt10358198,2020,116,"Horror,Thriller",4.8,7550.0
2113729,tt1753887,2011,115,"Comedy,Drama",7.3,7550.0
1741016,tt1337032,2009,102,"Comedy,Crime",7.3,7549.0
193329,tt0049010,1956,95,Drama,7.5,7548.0
482973,tt0123987,1998,88,"Comedy,Family",5.9,7548.0
597099,tt0171356,2000,101,"Comedy,Crime,Romance",5.6,7546.0
752580,tt0231448,2002,96,"Action,Drama",5.6,7546.0
362968,tt0090319,1985,136,"Drama,Music",6.6,7544.0
1335920,tt0920457,2007,130,"Action,Crime,Thriller",7.3,7544.0
406604,tt0101694,1991,104,"Crime,Drama,Mystery",6.1,7543.0
145273,tt0037077,1944,98,"Comedy,Romance,War",7.6,7542.0
465776,tt0118736,1998,91,"Action,Adventure,Comedy",6.5,7542.0
905816,tt0292610,2002,97,"Crime,Drama,Thriller",5.4,7542.0
2819594,tt4936176,2016,89,Comedy,5.8,7541.0
3346163,tt9680136,2019,126,"Comedy,Romance",5.8,7541.0
380034,tt0094750,1988,93,"Action,Drama",3.8,7539.0
1920368,tt1490785,2015,123,"Biography,Drama,Music",5.8,7538.0
2918564,tt5646136,2016,106,"Biography,Documentary,History",4.9,7538.0
3070798,tt6859352,2018,93,"Comedy,Drama",6.4,7534.0
326973,tt0081499,1980,105,"Action,Adventure,Comedy",7.1,7530.0
97637,tt0025586,1934,83,"Drama,Romance",7.0,7524.0
172581,tt0043809,1951,97,"Comedy,Drama,Fantasy",7.7,7523.0
463199,tt0117791,1996,125,"Biography,Drama,Romance",6.3,7523.0
1884824,tt14598754,2021,145,"Comedy,Drama,Romance",7.3,7523.0
2803365,tt4814760,2016,98,"Drama,Horror,Sci-Fi",5.6,7523.0
2941893,tt5824826,2016,125,"Comedy,Drama,Romance",8.2,7522.0
3019148,tt6423362,2019,100,"Drama,Music,Romance",5.9,7522.0
425625,tt0106834,1993,106,"Comedy,Drama,Romance",4.3,7520.0
408101,tt0102048,1991,102,"Crime,Mystery,Thriller",6.9,7519.0
2652012,tt3722062,2017,92,"Drama,Sci-Fi",5.0,7518.0
213997,tt0054022,1960,119,"Comedy,Musical,Romance",6.4,7515.0
790235,tt0247380,2000,82,Documentary,7.7,7513.0
2608524,tt3478046,2014,105,Comedy,5.9,7512.0
2416023,tt2338424,2015,105,"Comedy,Music,Romance",6.2,7510.0
1759575,tt13507778,2021,100,"Biography,Crime,Drama",6.4,7507.0
115852,tt0029992,1938,69,"Drama,Family,Fantasy",7.5,7504.0
824656,tt0259974,2000,82,"Action,Adventure,Animation",6.0,7502.0
1227311,tt0466664,2006,95,"Biography,Comedy,Sci-Fi",5.9,7502.0
120168,tt0031047,1939,103,"Comedy,Crime,Mystery",7.4,7501.0
332972,tt0082924,1980,106,"Action,Comedy,Fantasy",6.3,7501.0
2840288,tt5083702,2015,96,"Biography,Crime,Documentary",7.6,7501.0
1296449,tt0808526,2009,98,"Comedy,Drama",6.4,7500.0
204917,tt0051790,1958,88,"Biography,Drama,History",7.8,7498.0
214695,tt0054177,1963,88,"Drama,War",7.1,7498.0
2915201,tt5622412,2018,104,"Action,Drama,Thriller",4.7,7498.0
308867,tt0077289,1978,103,"Comedy,Drama,Romance",6.2,7496.0
296467,tt0074281,1976,97,"Comedy,Drama,Romance",6.1,7495.0
3166196,tt7748426,2018,113,Comedy,6.1,7495.0
3193053,tt7998242,2019,186,"Action,Adventure,Comedy",7.7,7495.0
199938,tt0050585,1957,91,"Drama,War",7.9,7493.0
459576,tt0116823,1996,93,"Comedy,Family",5.6,7490.0
3054985,tt6714534,2017,92,"Biography,Documentary",7.3,7489.0
322563,tt0080539,1980,139,"Comedy,Drama,Fantasy",6.9,7488.0
250274,tt0062909,1968,92,"Drama,Fantasy,Horror",6.5,7487.0
385666,tt0096054,1988,121,"Comedy,Drama,Musical",6.1,7487.0
152993,tt0038913,1946,87,Drama,8.0,7485.0
671028,tt0196158,2001,92,"Action,Crime,Thriller",3.5,7485.0
1791904,tt13804084,2021,84,"Action,Adventure,Animation",6.4,7485.0
1554021,tt11617052,2020,91,"Drama,Fantasy,Mystery",6.6,7484.0
3204138,tt8116428,2018,142,"Action,Drama,Fantasy",7.1,7482.0
2168862,tt1853643,2012,85,"Comedy,Drama",5.5,7481.0
192534,tt0048752,1955,177,"Drama,War",8.0,7479.0
3211306,tt8202612,2018,140,"Action,Crime,Drama",5.7,7479.0
2152785,tt1828970,2013,94,"Crime,Mystery,Thriller",5.3,7478.0
806114,tt0253622,1974,84,Comedy,8.0,7475.0
1518110,tt11306376,2021,145,Comedy,7.3,7474.0
2533294,tt3013610,2015,106,Drama,6.8,7473.0
1181280,tt0436364,2008,92,"Drama,Romance,War",6.2,7472.0
445846,tt0112778,1995,87,"Action,Adventure,Comedy",7.6,7471.0
1531975,tt11423818,2022,153,"Action,Drama,History",8.6,7469.0
3174090,tt7822438,2019,138,"Crime,Drama,Mystery",8.2,7466.0
3171435,tt7794524,2018,163,"Action,Drama",6.7,7465.0
816624,tt0257231,2001,99,"Action,Comedy,Crime",6.4,7463.0
2952529,tt5897636,2017,97,"Drama,Family",7.1,7461.0
2216850,tt1967614,2016,120,"Comedy,Drama,Romance",5.8,7458.0
2632798,tt3612320,2016,88,"Horror,Thriller",5.1,7455.0
1776067,tt13650600,2022,105,"Comedy,Drama,Thriller",6.1,7454.0
1797443,tt1385824,2009,138,"Drama,Horror,Mystery",7.3,7454.0
1485707,tt1100051,2010,109,"Crime,Horror,Thriller",5.0,7453.0
2588738,tt3365778,2014,91,Drama,7.0,7453.0
3186637,tt7942742,2018,136,"Drama,Music",6.0,7452.0
253993,tt0063794,1965,453,"Drama,History,Romance",8.3,7451.0
1031077,tt0352314,2004,120,"Crime,Drama,Mystery",7.5,7451.0
1932442,tt1503769,2009,82,Documentary,7.7,7451.0
2769861,tt4558200,2019,110,"Action,Adventure,Crime",6.4,7451.0
1388980,tt1020937,2007,126,"Action,Crime,Drama",7.4,7450.0
3069868,tt6852534,2019,106,"Crime,Drama,Horror",5.3,7450.0
2019691,tt1587828,2011,131,"Biography,Drama",6.2,7449.0
2062945,tt1657283,2011,110,"Comedy,Drama,Music",5.1,7449.0
2527416,tt2974050,2015,75,"Comedy,Crime,Family",3.9,7447.0
1797705,tt1385956,2013,99,Documentary,7.4,7446.0
1138886,tt0409072,2004,123,"Comedy,Crime,Drama",7.1,7445.0
358569,tt0089308,1985,91,"Horror,Thriller",3.6,7444.0
2199847,tt1930546,2012,93,"Comedy,Drama",5.6,7444.0
2673650,tt3858372,2014,85,"Adventure,Animation,Comedy",7.1,7444.0
2817464,tt4919484,2016,85,Drama,6.7,7443.0
1062399,tt0366943,2003,92,"Drama,Romance",7.3,7441.0
1199085,tt0446719,2005,95,"Horror,Sci-Fi,Thriller",5.6,7437.0
1772263,tt1361835,2010,118,"Crime,Drama,Thriller",7.0,7437.0
2903545,tt5540992,2017,90,"Biography,Drama,History",6.3,7437.0
366091,tt0091178,1986,82,Comedy,5.6,7434.0
2970317,tt6040012,2016,120,"Action,Adventure,Fantasy",7.2,7434.0
2930830,tt5740866,2018,120,"Biography,Documentary,Drama",7.3,7432.0
141910,tt0036261,1943,92,"Drama,Horror,Music",6.4,7431.0
301725,tt0075462,1976,112,"Adventure,Horror,Mystery",7.2,7431.0
233714,tt0058642,1965,97,"Drama,Romance",7.8,7430.0
2850924,tt5151570,2022,115,"Comedy,Drama",7.1,7429.0
736580,tt0222368,1999,102,"Adventure,Drama,Horror",5.8,7427.0
2099319,tt1726252,2015,98,"Mystery,Thriller",6.3,7427.0
1129646,tt0403455,2005,112,"Comedy,Drama,Music",6.2,7425.0
2124812,tt1773764,2012,140,Drama,8.0,7425.0
3262973,tt8786654,2021,91,"Drama,Thriller",5.9,7425.0
227227,tt0057128,1963,87,Horror,6.7,7424.0
3283589,tt8984572,2021,131,"Crime,Drama,Thriller",6.7,7423.0
370132,tt0092105,1986,104,"Comedy,Crime",6.2,7421.0
349764,tt0087100,1984,107,"Drama,Romance,Thriller",6.4,7417.0
255942,tt0064356,1969,104,Drama,7.9,7415.0
2475786,tt2620736,2013,81,"Drama,Horror,Thriller",5.2,7413.0
2786644,tt4680980,2016,92,"Horror,Thriller",5.4,7413.0
244549,tt0061473,1967,95,"Comedy,Drama",6.9,7412.0
3050751,tt6673840,2017,137,"Drama,History",7.2,7411.0
275490,tt0069049,2018,122,Drama,6.7,7410.0
386663,tt0096289,1988,120,"Comedy,Drama,Romance",7.7,7410.0
1076547,tt0373908,2005,90,"Comedy,Family,Romance",3.4,7410.0
1714620,tt1314280,2009,110,Drama,7.5,7408.0
197690,tt0050084,1957,82,"Adventure,Family,Fantasy",6.3,7407.0
436081,tt0109838,1993,86,"Comedy,Sci-Fi",6.3,7407.0
1321791,tt0870211,2007,97,"Drama,History,War",7.0,7407.0
2542266,tt3081268,2014,90,"Crime,Horror,Sci-Fi",5.1,7407.0
2958711,tt5946852,2016,162,"Action,Crime,Drama",7.2,7407.0
585281,tt0166195,1999,84,"Comedy,Drama",5.0,7406.0
2319154,tt2145829,2014,90,"Action,Adventure,Sci-Fi",4.6,7406.0
1427259,tt10515852,2019,82,"Action,Adventure,Animation",7.7,7404.0
165456,tt0042004,1949,117,"Crime,Drama,Romance",6.2,7403.0
314904,tt0078763,1979,112,"Comedy,Drama,Romance",7.8,7403.0
1961684,tt1529569,2010,105,"Comedy,Romance",6.5,7403.0
310361,tt0077621,1978,105,"Comedy,Romance,Western",6.2,7402.0
289865,tt0072637,1975,140,"Comedy,Drama",8.0,7399.0
438259,tt0110399,1994,108,"Action,Comedy,Crime",5.9,7399.0
1833012,tt14168118,2021,93,"Crime,Drama",7.1,7398.0
412519,tt0103110,1991,115,"Biography,Drama,History",7.5,7397.0
2166264,tt1847746,2013,93,"Drama,History,Thriller",6.7,7393.0
1475698,tt1092016,2008,124,"Biography,Crime,Drama",7.2,7392.0
235747,tt0059168,1965,98,"Adventure,Comedy,Crime",6.8,7389.0
872834,tt0279248,2001,90,Comedy,7.9,7389.0
3055624,tt6720802,2020,170,"Drama,Thriller",7.3,7389.0
125263,tt0032234,1940,72,Comedy,7.1,7386.0
145454,tt0037120,1944,123,"Drama,Family,Sport",7.3,7386.0
1512846,tt1125254,1991,47,"Action,Animation,Sci-Fi",7.1,7386.0
2894625,tt5474042,2017,135,"Drama,Romance",4.5,7386.0
2479606,tt2640474,2013,101,"Drama,Fantasy,Horror",6.7,7385.0
948392,tt0314166,2002,76,"Adventure,Animation,Comedy",5.9,7382.0
2661229,tt3776826,2016,94,"Comedy,Drama,Mystery",6.0,7382.0
2961574,tt5969696,2017,132,"Action,Drama,History",7.1,7382.0
1645510,tt1244658,2010,86,"Drama,Horror,Thriller",5.8,7381.0
2154500,tt1830713,2013,80,"Action,Adventure,Comedy",5.3,7380.0
1167342,tt0427323,2005,112,Comedy,3.2,7379.0
657588,tt0192194,1999,94,"Comedy,Drama",6.7,7375.0
318541,tt0079550,1979,108,"Action,Drama,Sci-Fi",5.0,7374.0
415466,tt0104053,1993,106,"Horror,Mystery,Thriller",5.8,7374.0
470504,tt0119937,1997,106,"Biography,Drama,Romance",6.8,7373.0
1397831,tt10279362,2020,113,"Comedy,Drama",5.9,7372.0
2255066,tt2048770,2013,93,"Drama,Mystery,Sci-Fi",6.1,7372.0
236120,tt0059263,1965,131,"Action,Drama,History",6.5,7371.0
2928589,tt5721088,2017,91,"Comedy,Crime",4.5,7370.0
335915,tt0083702,1982,95,Documentary,7.9,7367.0
383280,tt0095484,1988,113,"Fantasy,Horror,Mystery",6.5,7367.0
2004497,tt1572781,2010,162,"Animation,Drama,Family",8.0,7366.0
2889294,tt5436228,2017,101,"Biography,Drama,History",6.6,7366.0
310093,tt0077559,1978,101,"Action,Drama,Mystery",7.0,7363.0
271826,tt0068230,1972,88,Horror,6.4,7362.0
478816,tt0122529,1997,137,"Comedy,Drama",7.2,7362.0
1650337,tt1248971,2009,76,"Action,Drama,Romance",5.9,7361.0
2635199,tt3626742,2015,99,"Comedy,Romance",5.3,7360.0
113972,tt0029546,1937,109,"Comedy,Musical,Romance",7.5,7358.0
