rotten_tomatoes_link,Movie Title,Rotten Tomatoes rating,Studio,original_release_date,Year
m/freaky_friday,Freaky Friday,88.0,Buena Vista,2003-08-06,2003
m/shrek,Shrek,88.0,Dreamworks,2001-05-18,2001
m/harry_potter_and_the_goblet_of_fire,Harry Potter and the Goblet of Fire,88.0,Warner Bros.,2005-11-18,2005
m/1031385-jungle_book,The Jungle Book,88.0,Buena Vista,1967-10-18,1967
m/howls_moving_castle,Howl's Moving Castle,87.0,Buena Vista,2005-06-17,2005
m/kung_fu_panda,Kung Fu Panda,87.0,Paramount,2008-06-06,2008
m/the_peanuts_movie,The Peanuts Movie,87.0,20th Century Fox,2015-11-06,2015
m/peewees_big_adventure,Pee-wee's Big Adventure,87.0,Warner Bros.,1985-07-26,1985
m/wreck_it_ralph,Wreck-it Ralph,87.0,Disney,2012-11-02,2012
m/field_of_dreams,Field of Dreams,87.0,Universal,1989-04-21,1989
m/1079818-anastasia,Anastasia,86.0,20th Century Fox,1997-11-14,1997
m/1083414-parent_trap,The Parent Trap,86.0,Disney,1998-07-29,1998
m/1196077-cloudy_with_a_chance_of_meatballs,Cloudy With a Chance of Meatballs,86.0,Sony,2009-09-18,2009
m/mulan,Mulan,86.0,Buena Vista,1998-06-19,1998
m/1209933-puss_in_boots,Puss in Boots,86.0,Paramount,2011-10-28,2011
m/1196003-princess_and_the_frog,The Princess and the Frog,85.0,Disney,2009-12-11,2009
m/dora_and_the_lost_city_of_gold,Dora and the Lost City of Gold,85.0,Paramount,2019-08-09,2019
m/emperors_new_groove,The Emperor's New Groove,85.0,Buena Vista,2000-12-15,2000
m/bridge_to_terabithia,Bridge to Terabithia,85.0,Buena Vista,2007-02-16,2007
m/corpse_bride,Tim Burton's Corpse Bride,84.0,Warner Bros.,2005-09-16,2005
m/cinderella_2013,Cinderella,84.0,Disney,2015-03-13,2015
m/mad_hot_ballroom,Mad Hot Ballroom,84.0,Paramount,2005-05-20,2005
m/hercules,Hercules,84.0,Buena Vista,1997-06-15,1997
m/harry_potter_and_the_half_blood_prince,Harry Potter and the Half-Blood Prince,84.0,Warner Bros.,2009-07-15,2009
m/charlie_and_the_chocolate_factory,Charlie and the Chocolate Factory,83.0,Warner Bros.,2005-07-15,2005
m/sound_of_music,The Sound of Music,83.0,20th Century Fox,1965-03-02,1965
m/fiddler_on_the_roof,Fiddler on the Roof,83.0,United Artists,1971-11-03,1971
m/harry_potter_and_the_chamber_of_secrets,Harry Potter and the Chamber of Secrets,82.0,Warner Bros.,2002-11-15,2002
m/mr_peabody_and_sherman,Mr. Peabody & Sherman,81.0,20th Century Fox,2014-03-07,2014
m/island_of_lemurs_madagascar,Island Of Lemurs: Madagascar,81.0,Warner Bros.,2014-04-04,2014
m/fantasia_2000,Fantasia 2000,81.0,Buena Vista,2000-06-16,2000
m/harry_potter_and_the_sorcerers_stone,Harry Potter and the Sorcerer's Stone,81.0,Warner Bros.,2001-11-16,2001
m/1214097-despicable_me,Despicable Me,81.0,Universal,2010-07-09,2010
m/1016213-peter_pan,Peter Pan,81.0,Disney,1953-02-05,1953
m/dolphin_tale,Dolphin Tale,81.0,Warner Bros.,2011-09-23,2011
m/kung_fu_panda_the_kaboom_of_doom,Kung Fu Panda 2,81.0,Paramount,2011-05-26,2011
m/stuart_little_2,Stuart Little 2,81.0,Columbia Pictures,2002-07-19,2002
m/mcfarland_usa,McFarland USA,81.0,Disney,2015-02-20,2015
m/the_spongebob_movie_sponge_out_of_water,The SpongeBob Movie: Sponge Out of Water,81.0,Paramount,2015-02-06,2015
m/the_neverending_story_1984,The Neverending Story,80.0,Warner Bros.,1984-07-20,1984
m/wild_thornberrys_movie,The Wild Thornberrys Movie,80.0,Paramount,2002-12-20,2002
m/muppets_most_wanted,Muppets Most Wanted,80.0,Disney,2014-03-21,2014
m/monsters_university,Monsters University,80.0,Disney,2013-06-21,2013
m/poohs_heffalump_movie,Pooh's Heffalump Movie,80.0,Buena Vista,2005-02-11,2005
m/prince_of_egypt,The Prince of Egypt,80.0,Dreamworks,1998-12-18,1998
m/1057637-jungle_book,Rudyard Kipling's The Jungle Book,80.0,Buena Vista,1994-12-23,1994
m/dark_crystal,The Dark Crystal,79.0,Sony,1982-12-17,1982
m/horton-hears-a-who2008,Dr. Seuss' Horton Hears a Who!,79.0,20th Century Fox,2008-03-03,2008
m/surfs_up,Surf's Up,79.0,Sony,2007-06-08,2007
m/madagascar_3_europes_most_wanted_2012,Madagascar 3: Europe's Most Wanted,78.0,Paramount,2012-06-08,2012
m/charlottes_web,Charlotte's Web,78.0,Paramount,2006-12-15,2006
m/goosebumps_2015,Goosebumps,78.0,Sony,2015-10-16,2015
m/brave_2012,Brave,78.0,Disney,2012-06-22,2012
m/holes,Holes,78.0,Buena Vista,2003-04-18,2003
m/two_brothers,Two Brothers,78.0,Universal,2004-06-25,2004
m/harry_potter_and_the_order_of_the_phoenix,Harry Potter and the Order of the Phoenix,78.0,Warner Bros.,2007-07-11,2007
m/rudy,Rudy,78.0,Sony,1993-10-13,1993
m/ice_age,Ice Age,77.0,20th Century Fox,2002-03-15,2002
m/adventures_of_elmo_in_grouchland,The Adventures of Elmo in Grouchland,77.0,Columbia Pictures,1999-10-01,1999
m/frozen_ii,Frozen II,77.0,Disney,2019-11-21,2019
m/1023543-white_christmas,White Christmas,77.0,Paramount,1954-01-01,1954
m/harry_potter_and_the_deathly_hallows_part_1,Harry Potter and the Deathly Hallows - Part 1,77.0,Warner Bros.,2010-11-19,2010
m/1128577-peter_pan,Peter Pan,77.0,Universal,2003-12-25,2003
m/the_good_dinosaur,The Good Dinosaur,76.0,Disney,2015-11-25,2015
m/spies_in_disguise,Spies in Disguise,76.0,20th Century Fox,2019-12-25,2019
m/happy_feet,Happy Feet,76.0,Warner Bros.,2006-11-17,2006
m/trolls,Trolls,76.0,Dreamworks,2016-11-04,2016
m/jumanji_welcome_to_the_jungle,Jumanji: Welcome to the Jungle,76.0,Columbia Pictures,2017-12-20,2017
m/chronicles_of_narnia_lion_witch_wardrobe,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",76.0,Buena Vista,2005-12-09,2005
m/muppet_christmas_carol,The Muppet Christmas Carol,76.0,Buena Vista,1992-12-11,1992
m/zathura,Zathura: A Space Adventure,76.0,Sony,2005-11-11,2005
m/nanny_mcphee_returns,Nanny McPhee Returns,76.0,Universal,2010-08-20,2010
m/rugrats_in_paris,Rugrats in Paris - The Movie,76.0,Paramount,2000-11-17,2000
m/teachers_pet_2004,Teacher's Pet,76.0,Buena Vista,2004-01-16,2004
m/over_the_hedge,Over the Hedge,75.0,Dreamworks,2006-05-19,2006
m/despicable_me_2,Despicable Me 2,75.0,Universal,2013-07-03,2013
m/monster_house,Monster House,75.0,Sony,2006-07-21,2006
m/cars,Cars,75.0,Buena Vista,2006-06-09,2006
m/smallfoot,Smallfoot,75.0,Warner Bros.,2018-09-28,2018
m/rise_of_the_guardians_2012,Rise of the Guardians,75.0,Paramount,2012-11-21,2012
