,rotten_tomatoes_link,Movie Title,Year,Studio,IMDb rating,Rotten Tomatoes rating
166,m/nanny_mcphee,Nanny McPhee,2006,Universal,6.6,7.3
167,m/christopher_robin,Christopher Robin,2018,Disney,7.2,7.3
168,m/where_the_wild_things_are,Where the Wild Things Are,2009,Warner Bros.,6.7,7.3
169,m/flushed_away,Flushed Away,2006,Paramount,6.6,7.3
170,m/lemony_snicket,Lemony Snicket's A Series of Unfortunate Events,2004,Paramount,,7.2
171,m/megamind,Megamind,2010,Paramount,7.3,7.2
172,m/labyrinth,Labyrinth,1986,Sony,7.3,7.2
173,m/rio,Rio,2011,20th Century Fox,6.9,7.2
174,m/hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,2008,Disney,,7.1
175,m/1073037-hunchback_of_notre_dame,The Hunchback of Notre Dame,1996,Disney,7.0,7.1
176,m/the-croods,The Croods,2013,20th Century Fox,7.2,7.1
177,m/into_the_woods_2014,Into the Woods,2014,Disney,5.9,7.1
178,m/mrs_doubtfire,Mrs. Doubtfire,1993,20th Century Fox,7.1,7.1
179,m/cars_3,Cars 3,2017,Disney,6.7,7.0
180,m/spirit_stallion_of_the_cimarron,Spirit - Stallion of the Cimarron,2002,Dreamworks,,7.0
181,m/ramona_and_beezus,Ramona and Beezus,2010,20th Century Fox,6.5,7.0
182,m/cloudy_with_a_chance_of_meatballs_2_2013,Cloudy with a Chance of Meatballs 2,2013,Sony,6.3,7.0
183,m/piglets_big_movie,Piglet's Big Movie,2003,Disney,6.1,7.0
184,m/1153951-curious_george,Curious George,2006,Universal,6.5,7.0
185,m/1001193-around_the_world_in_80_days,Around the World in 80 Days,1956,United Artists,6.7,6.9
186,m/treasure_planet,Treasure Planet,2002,Buena Vista,7.2,6.9
187,m/pokemon_detective_pikachu,Pokémon Detective Pikachu,2019,Warner Bros.,6.5,6.8
188,m/spongebob_squarepants_movie,The SpongeBob SquarePants Movie,2004,Paramount,7.1,6.8
189,m/chronicles_of_narnia_prince_caspian,The Chronicles of Narnia: Prince Caspian,2008,Disney,6.5,6.7
190,m/meet_the_robinsons,Meet the Robinsons,2007,Buena Vista,6.8,6.7
191,m/stuart_little,Stuart Little,1999,Columbia Pictures,6.0,6.7
192,m/dolphin_tale_2,Dolphin Tale 2,2014,Warner Bros.,6.4,6.6
193,m/the_house_with_a_clock_in_its_walls,The House with a Clock in Its Walls,2018,Universal,6.0,6.6
194,m/turbo_2013,Turbo,2013,Dreamworks,6.4,6.6
195,m/karate_kid_2010,The Karate Kid,2010,Sony,6.2,6.6
196,m/storks,Storks,2016,Warner Bros.,6.8,6.6
197,m/rocketeer,The Rocketeer,1991,Disney,6.5,6.5
198,m/epic_2013,Epic,2013,20th Century Fox,6.6,6.5
199,m/babe_pig_in_the_city,Babe: Pig in the City,1998,Universal,5.8,6.5
200,m/home_alone,Home Alone,1990,20th Century Fox,7.7,6.5
201,m/dreamer,Dreamer: Inspired by a True Story,2005,Dreamworks,,6.4
202,m/the_frighteners,The Frighteners,1996,Universal,7.1,6.4
203,m/madagascar_escape_2_africa,Madagascar: Escape 2 Africa,2008,Paramount,6.6,6.4
204,m/miss_peregrines_home_for_peculiar_children,Miss Peregrine's Home for Peculiar Children,2016,20th Century Fox,6.7,6.4
205,m/robots,Robots,2005,20th Century Fox,6.4,6.4
206,m/1097046-dinosaur,Dinosaur,2000,Buena Vista,6.4,6.4
207,m/peter_rabbit_2018,Peter Rabbit,2018,Columbia Pictures,6.6,6.3
208,m/sandlot,The Sandlot,1993,20th Century Fox,7.8,6.3
209,m/muppets_from_space,Muppets From Space,1999,Columbia Pictures,,6.3
210,m/ant_bully,The Ant Bully,2006,Warner Bros.,5.8,6.2
211,m/paulie,Paulie,1998,Dreamworks,6.5,6.2
212,m/hotel_transylvania_3_summer_vacation,Hotel Transylvania 3: Summer Vacation,2018,Sony,6.3,6.2
213,m/the-tigger-movie,The Tigger Movie,2000,Buena Vista,6.3,6.2
214,m/journey_to_the_center_of_the_earth_2008,Journey to the Center of the Earth,2008,Warner Bros.,5.8,6.1
215,m/10005499-oliver_twist,Oliver Twist,2005,Sony,6.8,6.1
216,m/alexander_and_the_terrible_horrible_no_good_very_bad_day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Disney,6.2,6.1
217,m/the_grinch,The Grinch,2018,Universal,6.3,6.0
218,m/tuck_everlasting,Tuck Everlasting,2002,Buena Vista,6.6,6.0
219,m/recess_schools_out,Recess: School's Out,2001,Buena Vista,6.5,6.0
