rotten_tomatoes_link,Movie Title,Year,Studio,IMDb rating,Rotten Tomatoes rating
m/antz,Antz,1998,Dreamworks,6.6,92.0
m/bugs_life,A Bug's Life,1998,Buena Vista,7.2,92.0
m/arthur_christmas,Arthur Christmas,2011,Sony,7.1,92.0
m/1041870-matinee,Matinee,1992,Universal,6.9,92.0
m/ponyo,Ponyo,2009,Disney,7.6,92.0
m/winnie_the_pooh_2011,Winnie the Pooh,2011,Disney,7.1,91.0
m/how_to_train_your_dragon_2,How to Train Your Dragon 2,2014,20th Century Fox,7.8,91.0
m/james_and_the_giant_peach,James and the Giant Peach,1996,Buena Vista,6.7,91.0
m/teen_titans_go_to_the_movies,Teen Titans Go! To the Movies,2018,Warner Bros.,,91.0
m/willy_wonka_and_the_chocolate_factory,Willy Wonka and the Chocolate Factory,1971,Paramount,,90.0
m/disneynature_bears,Disneynature Bears,2014,Disney,,90.0
m/harry_potter_and_the_prisoner_of_azkaban,Harry Potter and the Prisoner of Azkaban,2004,Warner Bros.,7.9,90.0
m/how_to_train_your_dragon_the_hidden_world,How to Train Your Dragon: The Hidden World,2019,Universal,7.4,90.0
m/frozen_2013,Frozen,2013,Disney,7.4,90.0
m/the_lego_batman_movie,The Lego Batman Movie,2017,Warner Bros.,7.3,90.0
m/how_green_was_my_valley,How Green Was My Valley,1941,20th Century Fox,7.7,89.0
m/the_kid_who_would_be_king,The Kid Who Would Be King,2019,20th Century Fox,6.1,89.0
m/1019187-sleeping_beauty,Sleeping Beauty,1959,Buena Vista,7.2,89.0
m/karate_kid,The Karate Kid,1984,Columbia Pictures,7.3,89.0
m/1010939-jason_and_the_argonauts,Jason and the Argonauts,1963,Columbia Pictures,7.3,89.0
m/tangled,Tangled,2010,Disney,7.7,89.0
m/shrek_2,Shrek 2,2004,Dreamworks,7.3,89.0
m/1004151-christmas_story,A Christmas Story,1983,MGM,7.9,89.0
m/big_hero_6,Big Hero 6,2014,Disney,7.8,89.0
m/ralph_breaks_the_internet,Ralph Breaks the Internet,2018,Disney,7.0,88.0
m/millions,Millions,2005,20th Century Fox,6.8,88.0
m/1045518-secret_garden,The Secret Garden,1993,Warner Bros.,7.3,88.0
m/petes_dragon_2016,Pete's Dragon,2016,Disney,6.7,88.0
m/rango,Rango,2011,Paramount,7.2,88.0
m/onward,Onward,2020,Disney,7.4,88.0
m/freaky_friday,Freaky Friday,2003,Buena Vista,6.3,88.0
m/shrek,Shrek,2001,Dreamworks,7.9,88.0
m/harry_potter_and_the_goblet_of_fire,Harry Potter and the Goblet of Fire,2005,Warner Bros.,7.7,88.0
m/1031385-jungle_book,The Jungle Book,1967,Buena Vista,7.6,88.0
m/howls_moving_castle,Howl's Moving Castle,2005,Buena Vista,8.2,87.0
m/kung_fu_panda,Kung Fu Panda,2008,Paramount,7.6,87.0
m/the_peanuts_movie,The Peanuts Movie,2015,20th Century Fox,7.0,87.0
m/peewees_big_adventure,Pee-wee's Big Adventure,1985,Warner Bros.,7.0,87.0
m/wreck_it_ralph,Wreck-it Ralph,2012,Disney,,87.0
m/field_of_dreams,Field of Dreams,1989,Universal,7.5,87.0
m/1079818-anastasia,Anastasia,1997,20th Century Fox,7.1,86.0
m/1083414-parent_trap,The Parent Trap,1998,Disney,6.6,86.0
