,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
156,nm0000640,actor,Martin Sheen,8.3,2,0.2
176,nm0000849,actor,Javier Bardem,8.0,2,0.2
523,nm0913822,actor,Ken Watanabe,8.5,2,0.2
0,nm0000008,actor,Marlon Brando,8.85,2,0.2
214,nm0001321,actor,Richard Harris,7.5,2,0.2
376,nm0293509,actor,Martin Freeman,7.8,2,0.2
378,nm0302108,actor,Zach Galifianakis,7.7,2,0.2
363,nm0252230,actor,Chiwetel Ejiofor,7.8,2,0.2
341,nm0159789,actor,Hayden Christensen,7.1,2,0.2
339,nm0147147,actor,Henry Cavill,6.75,2,0.2
336,nm0124930,actor,Gerard Butler,7.85,2,0.2
398,nm0350453,actor,Jake Gyllenhaal,8.05,2,0.2
404,nm0386472,actor,Emile Hirsch,7.85,2,0.2
320,nm0059431,actor,Jay Baruchel,8.1,2,0.2
317,nm0035514,actor,Richard Armitage,7.8,2,0.2
421,nm0451234,actor,Irrfan Khan,7.4,2,0.2
286,nm0004874,actor,Vin Diesel,7.8,2,0.2
108,nm0000422,actor,John Goodman,8.1,2,0.2
285,nm0004778,actor,Adrien Brody,8.3,2,0.2
441,nm0564215,actor,James McAvoy,7.800000000000001,2,0.2
268,nm0001850,actor,Billy Dee Williams,8.5,2,0.2
256,nm0001745,actor,Stellan Skarsgård,7.550000000000001,2,0.2
472,nm0719637,actor,Jeremy Renner,7.95,2,0.2
560,nm1209966,actor,Oscar Isaac,7.9,2,0.2
250,nm0001663,actor,Paul Reiser,8.45,2,0.2
17,nm0000128,actor,Russell Crowe,8.35,2,0.2
629,nm3915784,actor,John Boyega,7.35,2,0.2
81,nm0000299,actor,Michael Biehn,8.25,2,0.2
84,nm0000313,actor,Jeff Bridges,8.0,2,0.2
375,nm0290556,actor,James Franco,7.4,2,0.2
124,nm0000474,actor,Michael Keaton,7.550000000000001,2,0.2
220,nm0001426,actor,Ben Kingsley,8.6,2,0.2
223,nm0001467,actor,Jared Leto,7.1000000000000005,2,0.2
227,nm0001497,actor,Tobey Maguire,7.4,2,0.2
235,nm0001557,actor,Viggo Mortensen,8.9,2,0.2
243,nm0001602,actor,Guy Pearce,7.75,2,0.2
245,nm0001618,actor,Joaquin Phoenix,8.45,2,0.2
438,nm0540441,actress,Jena Malone,8.0,1,0.1
386,nm0328751,actress,Caroline Goodall,9.0,1,0.1
381,nm0317725,actress,Ariadna Gil,8.2,1,0.1
392,nm0339460,actress,Judy Greer,6.9,1,0.1
439,nm0544718,actress,Kate Mara,8.0,1,0.1
425,nm0491259,actress,Mélanie Laurent,8.3,1,0.1
414,nm0428065,actress,Felicity Jones,7.8,1,0.1
426,nm0494504,actress,Anne Le Ny,8.5,1,0.1
618,nm2951768,actress,Freida Pinto,8.0,1,0.1
446,nm0579953,actress,Idina Menzel,7.4,1,0.1
447,nm0587256,actress,Vera Miles,8.5,1,0.1
451,nm0607865,actress,Emily Mortimer,8.2,1,0.1
617,nm2933757,actress,Gal Gadot,7.4,1,0.1
463,nm0683253,actress,Rosamund Pike,8.1,1,0.1
465,nm0687189,actress,Suzanne Pleshette,8.6,1,0.1
466,nm0688132,actress,Amy Poehler,8.2,1,0.1
578,nm1419440,actress,Ivana Baquero,8.2,1,0.1
428,nm0501435,actress,Kasi Lemmons,8.6,1,0.1
429,nm0502425,actress,Melissa Leo,8.1,1,0.1
249,nm0001657,actor,Oliver Reed,8.5,1,0.1
641,nm8188622,actor,Jacob Batalon,8.3,1,0.1
332,nm0110480,actor,Peter Brocco,8.7,1,0.1
208,nm0001187,actor,Noah Emmerich,8.2,1,0.1
211,nm0001260,actor,John Gavin,8.5,1,0.1
212,nm0001291,actor,Rupert Graves,8.2,1,0.1
218,nm0001394,actor,Derek Jacobi,8.0,1,0.1
225,nm0001475,actor,John Lithgow,7.9,1,0.1
230,nm0001526,actor,Patrick McGoohan,8.4,1,0.1
232,nm0001533,actor,Meat Loaf,8.8,1,0.1
233,nm0001538,actor,Jonny Lee Miller,8.1,1,0.1
199,nm0001079,actor,Scatman Crothers,8.4,1,0.1
287,nm0004937,actor,Jamie Foxx,8.4,1,0.1
334,nm0122653,actor,Edward Burns,8.6,1,0.1
241,nm0001592,actor,Joe Pantoliano,8.4,1,0.1
335,nm0123785,actor,Ben Burtt,8.4,1,0.1
338,nm0134493,actor,Giorgio Cantarini,8.6,1,0.1
342,nm0165049,actor,Warren Clarke,8.3,1,0.1
343,nm0167388,actor,François Cluzet,8.5,1,0.1
348,nm0186505,actor,Bryan Cranston,7.8,1,0.1
330,nm0095478,actor,Mark Boone Junior,8.4,1,0.1
352,nm0202603,actor,Jack Davenport,7.3,1,0.1
360,nm0241049,actor,Josh Duhamel,7.0,1,0.1
361,nm0243842,actor,Giustino Durano,8.6,1,0.1
380,nm0316701,actress,Mary Gibbs,8.1,1,0.1
207,nm0001186,actor,Denholm Elliott,8.2,1,0.1
206,nm0001173,actor,Aaron Eckhart,9.0,1,0.1
204,nm0001158,actor,Keir Dullea,8.3,1,0.1
234,nm0001556,actor,David Morse,8.6,1,0.1
242,nm0001598,actor,Robert Patrick,8.6,1,0.1
244,nm0001606,actor,Chris Penn,8.3,1,0.1
247,nm0001652,actor,John Ratzenberger,8.3,1,0.1
248,nm0001653,actor,Stephen Rea,8.2,1,0.1
255,nm0001744,actor,Tom Sizemore,8.6,1,0.1
259,nm0001780,actor,Peter Stormare,8.1,1,0.1
240,nm0001590,actor,Chazz Palminteri,8.5,1,0.1
260,nm0001804,actor,Stanley Tucci,7.2,1,0.1
263,nm0001815,actor,Jim Varney,8.3,1,0.1
264,nm0001817,actor,Reginald VelJohnson,8.2,1,0.1
265,nm0001825,actor,Andrew Kevin Walker,8.6,1,0.1
267,nm0001845,actor,Forest Whitaker,7.9,1,0.1
269,nm0001971,actor,Ewen Bremner,8.1,1,0.1
270,nm0001993,actor,Vincent Cassel,8.0,1,0.1
271,nm0002011,actor,Lee J. Cobb,9.0,1,0.1
272,nm0002078,actor,Frederic Forrest,8.5,1,0.1
273,nm0002091,actor,Michael Gambon,8.1,1,0.1
277,nm0003817,actor,Michael Clarke Duncan,8.6,1,0.1
261,nm0001812,actor,Lee Van Cleef,8.8,1,0.1
281,nm0004423,actor,Gerry Robert Byrne,8.3,1,0.1
239,nm0001579,actor,Edward James Olmos,8.1,1,0.1
637,nm5939164,actress,Zazie Beetz,8.4,1,0.1
161,nm0000673,actress,Marisa Tomei,7.4,1,0.1
639,nm6748436,actress,Dafne Keen,8.1,1,0.1
96,nm0000368,actress,Laura Dern,8.2,1,0.1
322,nm0068338,actress,Kristen Bell,7.4,1,0.1
197,nm0001057,actress,Toni Collette,8.2,1,0.1
