,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
315,nm0023832,actor,Mathieu Amalric,8.1,1,0.1
319,nm0058581,actor,Justin Bartha,7.7,1,0.1
321,nm0060988,actor,Michael Bates,8.3,1,0.1
304,nm0005458,actor,Jason Statham,8.2,1,0.1
40,nm0000169,actor,Tommy Lee Jones,8.2,1,0.1
42,nm0000174,actor,Val Kilmer,8.3,1,0.1
520,nm0908919,actor,Eli Wallach,8.8,1,0.1
150,nm0000602,actor,Robert Redford,7.8,1,0.1
128,nm0000501,actor,Ray Liotta,8.7,1,0.1
129,nm0000502,actor,Christopher Lloyd,8.5,1,0.1
131,nm0000513,actor,William H. Macy,8.1,1,0.1
136,nm0000532,actor,Malcolm McDowell,8.3,1,0.1
137,nm0000546,actor,Matthew Modine,8.3,1,0.1
138,nm0000547,actor,Alfred Molina,7.4,1,0.1
139,nm0000552,actor,Eddie Murphy,7.9,1,0.1
141,nm0000554,actor,Sam Neill,8.2,1,0.1
145,nm0000578,actor,Anthony Perkins,8.5,1,0.1
146,nm0000582,actor,Joe Pesci,8.7,1,0.1
151,nm0000606,actor,Jean Reno,8.5,1,0.1
49,nm0000195,actor,Bill Murray,8.1,1,0.1
371,nm0275835,actor,John Fiedler,9.0,1,0.1
372,nm0277975,actor,Frank Finlay,8.5,1,0.1
307,nm0005493,actor,Justin Timberlake,7.8,1,0.1
540,nm0996669,actor,Common,7.2,1,0.1
500,nm0836121,actor,Michael Stuhlbarg,7.9,1,0.1
502,nm0843059,actor,Eric Sykes,7.7,1,0.1
503,nm0843213,actor,William Sylvester,8.3,1,0.1
507,nm0864997,actor,Stephen Tobolowsky,8.1,1,0.1
510,nm0876138,actor,Alan Tudyk,7.8,1,0.1
512,nm0879085,actor,Tyrese Gibson,7.0,1,0.1
126,nm0000489,actor,Christopher Lee,6.6,1,0.1
122,nm0000469,actor,James Earl Jones,8.5,1,0.1
119,nm0000460,actor,Jeremy Irons,8.5,1,0.1
118,nm0000457,actor,John Hurt,8.5,1,0.1
50,nm0000196,actor,Mike Myers,7.9,1,0.1
32,nm0000154,actor,Mel Gibson,8.4,1,0.1
114,nm0000442,actor,Rutger Hauer,8.1,1,0.1
115,nm0000450,actor,Philip Seymour Hoffman,7.5,1,0.1
116,nm0000453,actor,Ian Holm,8.1,1,0.1
162,nm0000681,actor,Vince Vaughn,8.1,1,0.1
163,nm0000685,actor,Jon Voight,8.3,1,0.1
164,nm0000686,actor,Christopher Walken,8.1,1,0.1
169,nm0000708,actor,Billy Zane,7.9,1,0.1
171,nm0000719,actor,F. Murray Abraham,8.1,1,0.1
172,nm0000732,actor,Danny Aiello,8.5,1,0.1
158,nm0000643,actor,Tom Skerritt,8.5,1,0.1
174,nm0000799,actor,Edward Asner,8.3,1,0.1
178,nm0000874,actor,Steven Bauer,8.3,1,0.1
180,nm0000885,actor,Ned Beatty,8.3,1,0.1
182,nm0000905,actor,Roberto Benigni,8.6,1,0.1
189,nm0000982,actor,Josh Brolin,8.2,1,0.1
175,nm0000842,actor,Martin Balsam,9.0,1,0.1
157,nm0000641,actor,Gary Sinise,8.8,1,0.1
153,nm0000619,actor,Tim Roth,8.3,1,0.1
152,nm0000614,actor,Alan Rickman,8.2,1,0.1
253,nm0001732,actress,Cybill Shepherd,8.2,1,0.1
