tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0023694,1932,6.3,White Zombie,m/white_zombie,White Zombie,Fresh,86.0
tt0023775,1933,7.5,Baby Face,m/baby_face,Baby Face,Fresh,100.0
tt0023940,1933,7.4,Design for Living,,,,
tt0023948,1933,7.5,Dinner at Eight,m/1005875-dinner_at_eight,Dinner at Eight,Fresh,90.0
tt0023969,1933,7.8,Duck Soup,m/duck_soup,Duck Soup,Certified-Fresh,92.0
tt0024034,1933,7.3,42nd Street,m/42nd_street,42nd Street,Fresh,96.0
tt0024069,1933,7.7,Gold Diggers of 1933,m/gold_diggers_of_1933,Gold Diggers of 1933,Fresh,100.0
tt0024184,1933,7.6,The Invisible Man,m/1010695-invisible_man,The Invisible Man,Certified-Fresh,94.0
tt0024216,1933,7.9,King Kong,m/1011615-king_kong,King Kong,Certified-Fresh,98.0
tt0024216,1933,7.9,King Kong,m/1011615-king_kong,King Kong,Certified-Fresh,98.0
tt0024264,1933,7.2,Little Women,m/1012524-little_women,Little Women,Fresh,94.0
tt0024481,1933,7.5,Queen Christina,m/queen_christina,Queen Christina,Fresh,90.0
tt0024548,1933,6.3,She Done Him Wrong,m/she_done_him_wrong,She Done Him Wrong,Fresh,91.0
tt0024601,1933,7.5,Sons of the Desert,,,,
tt0024844,1934,7.8,L'Atalante,m/latalante,L'Atalante,Fresh,100.0
tt0024852,1934,7.1,March of the Wooden Soldiers,,,,
tt0024852,1934,7.1,March of the Wooden Soldiers,,,,
tt0024894,1934,6.9,The Black Cat,,,,
tt0025164,1934,7.4,The Gay Divorcee,m/gay_divorcee,The Gay Divorcee,Fresh,93.0
tt0025316,1934,8.1,It Happened One Night,m/it_happened_one_night,It Happened One Night,Certified-Fresh,98.0
tt0025452,1934,6.7,The Man Who Knew Too Much,m/the_man_who_knew_too_much,The Man Who Knew Too Much,Fresh,88.0
tt0025452,1934,6.7,The Man Who Knew Too Much,m/the_man_who_knew_too_much_1956,The Man Who Knew Too Much,Fresh,87.0
tt0025586,1934,7.0,Of Human Bondage,,,,
tt0025746,1934,7.5,The Scarlet Empress,,,,
tt0025878,1934,7.9,The Thin Man,m/thin_man,The Thin Man,Fresh,97.0
tt0025913,1935,7.2,The Triumph of the Will,,,,
tt0025919,1934,7.3,Twentieth Century,m/twentieth_century,Twentieth Century,Fresh,86.0
tt0026029,1935,7.6,The 39 Steps,m/1000121-39_steps,The 39 Steps,Certified-Fresh,96.0
tt0026138,1935,7.8,The Bride of Frankenstein,m/bride_of_frankenstein,The Bride of Frankenstein,Certified-Fresh,98.0
tt0026174,1935,7.7,Captain Blood,m/1003499-captain_blood,Captain Blood,Fresh,100.0
tt0026529,1935,7.4,The Informer,m/1010553-informer,The Informer,Fresh,94.0
tt0026752,1935,7.7,Mutiny on the Bounty,m/1014481-mutiny_on_the_bounty,Mutiny on the Bounty,Certified-Fresh,93.0
tt0026778,1935,7.8,A Night at the Opera,m/1015002-night_at_the_opera,A Night at the Opera,Certified-Fresh,98.0
tt0026778,1935,7.8,A Night at the Opera,m/1015002-night_at_the_opera,A Night at the Opera,Certified-Fresh,98.0
tt0027125,1935,7.7,Top Hat,m/top_hat,Top Hat,Certified-Fresh,100.0
tt0027260,1936,7.6,After the Thin Man,m/after_the_thin_man,After the Thin Man,Fresh,100.0
tt0027532,1936,7.8,Dodsworth,m/dodsworth,Dodsworth,Fresh,90.0
tt0027545,1936,6.3,Dracula's Daughter,m/draculas_daughter,Dracula's Daughter,Rotten,55.0
tt0027698,1936,6.7,The Great Ziegfeld,m/great_ziegfeld,The Great Ziegfeld,Fresh,62.0
tt0027884,1936,7.8,Libeled Lady,m/libeled_lady,Libeled Lady,Fresh,86.0
tt0027996,1936,7.8,Mr. Deeds Goes to Town,m/mr_deeds_goes_to_town,Mr. Deeds Goes to Town,Fresh,90.0
tt0028010,1936,8.0,My Man Godfrey,m/1014536-my_man_godfrey,My Man Godfrey,Fresh,97.0
tt0028096,1936,7.5,The Petrified Forest,m/the_petrified_forest,The Petrified Forest,Fresh,100.0
tt0028212,1936,7.0,Sabotage,m/1018044-sabotage,Sabotage,Fresh,100.0
tt0028231,1936,6.4,Secret Agent,,,,
